date,facebook privacy settings guide
2011-01-01,33
2011-02-01,52
2011-03-01,61
2011-04-01,50
2011-05-01,78
2011-06-01,43
2011-07-01,63
2011-08-01,70
2011-09-01,29
2011-10-01,41
2011-11-01,56
2011-12-01,27
2012-01-01,38
2012-02-01,43
2012-03-01,25
2012-04-01,43
2012-05-01,24
2012-06-01,99
2012-07-01,37
2012-08-01,36
2012-09-01,80
2012-10-01,44
2012-11-01,44
2012-12-01,44
2013-01-01,33
2013-02-01,100
2013-03-01,26
2013-04-01,40
2013-05-01,29
2013-06-01,40
2013-07-01,49
2013-08-01,19
2013-09-01,48
2013-10-01,36
2013-11-01,37
2013-12-01,74
2014-01-01,17
2014-02-01,31
2014-03-01,34
2014-04-01,26
2014-05-01,27
2014-06-01,20
2014-07-01,19
2014-08-01,19
2014-09-01,73
2014-10-01,35
2014-11-01,30
2014-12-01,18
2015-01-01,16
2015-02-01,18
2015-03-01,16
2015-04-01,25
2015-05-01,16
2015-06-01,16
2015-07-01,27
2015-08-01,48
2015-09-01,21
2015-10-01,15
2015-11-01,31
2015-12-01,39
2016-01-01,22
2016-02-01,20
2016-03-01,14
2016-04-01,28
2016-05-01,14
2016-06-01,14
2016-07-01,28
2016-08-01,14
2016-09-01,14
2016-10-01,33
2016-11-01,18
2016-12-01,18
2017-01-01,13
