date,facebook download mobile
2011-01-01,46
2011-02-01,45
2011-03-01,46
2011-04-01,52
2011-05-01,58
2011-06-01,67
2011-07-01,88
2011-08-01,94
2011-09-01,98
2011-10-01,97
2011-11-01,92
2011-12-01,100
2012-01-01,93
2012-02-01,86
2012-03-01,89
2012-04-01,83
2012-05-01,83
2012-06-01,85
2012-07-01,88
2012-08-01,89
2012-09-01,81
2012-10-01,79
2012-11-01,78
2012-12-01,91
2013-01-01,82
2013-02-01,82
2013-03-01,82
2013-04-01,88
2013-05-01,85
2013-06-01,86
2013-07-01,90
2013-08-01,95
2013-09-01,87
2013-10-01,81
2013-11-01,79
2013-12-01,81
2014-01-01,76
2014-02-01,78
2014-03-01,76
2014-04-01,72
2014-05-01,69
2014-06-01,75
2014-07-01,83
2014-08-01,83
2014-09-01,67
2014-10-01,71
2014-11-01,67
2014-12-01,72
2015-01-01,71
2015-02-01,63
2015-03-01,64
2015-04-01,58
2015-05-01,55
2015-06-01,53
2015-07-01,54
2015-08-01,50
2015-09-01,48
2015-10-01,47
2015-11-01,45
2015-12-01,45
2016-01-01,43
2016-02-01,35
2016-03-01,37
2016-04-01,35
2016-05-01,34
2016-06-01,35
2016-07-01,33
2016-08-01,30
2016-09-01,30
2016-10-01,31
2016-11-01,29
2016-12-01,26
2017-01-01,24
