date,verisign wiki
2011-01-01,68
2011-02-01,72
2011-03-01,69
2011-04-01,93
2011-05-01,58
2011-06-01,78
2011-07-01,48
2011-08-01,55
2011-09-01,64
2011-10-01,71
2011-11-01,62
2011-12-01,45
2012-01-01,56
2012-02-01,100
2012-03-01,57
2012-04-01,57
2012-05-01,50
2012-06-01,90
2012-07-01,40
2012-08-01,54
2012-09-01,45
2012-10-01,56
2012-11-01,46
2012-12-01,44
2013-01-01,40
2013-02-01,31
2013-03-01,39
2013-04-01,33
2013-05-01,55
2013-06-01,54
2013-07-01,58
2013-08-01,36
2013-09-01,38
2013-10-01,23
2013-11-01,30
2013-12-01,26
2014-01-01,30
2014-02-01,29
2014-03-01,32
2014-04-01,43
2014-05-01,19
2014-06-01,23
2014-07-01,33
2014-08-01,25
2014-09-01,34
2014-10-01,33
2014-11-01,29
2014-12-01,21
2015-01-01,21
2015-02-01,31
2015-03-01,28
2015-04-01,27
2015-05-01,13
2015-06-01,23
2015-07-01,15
2015-08-01,19
2015-09-01,29
2015-10-01,16
2015-11-01,14
2015-12-01,11
2016-01-01,23
2016-02-01,17
2016-03-01,11
2016-04-01,15
2016-05-01,13
2016-06-01,28
2016-07-01,10
2016-08-01,15
2016-09-01,23
2016-10-01,8
2016-11-01,14
2016-12-01,14
2017-01-01,16
