date,reset facebook settings
2011-01-01,62
2011-02-01,61
2011-03-01,53
2011-04-01,53
2011-05-01,47
2011-06-01,58
2011-07-01,63
2011-08-01,72
2011-09-01,86
2011-10-01,78
2011-11-01,78
2011-12-01,79
2012-01-01,70
2012-02-01,77
2012-03-01,83
2012-04-01,61
2012-05-01,74
2012-06-01,65
2012-07-01,74
2012-08-01,75
2012-09-01,76
2012-10-01,78
2012-11-01,84
2012-12-01,100
2013-01-01,90
2013-02-01,67
2013-03-01,71
2013-04-01,86
2013-05-01,65
2013-06-01,75
2013-07-01,88
2013-08-01,75
2013-09-01,85
2013-10-01,71
2013-11-01,67
2013-12-01,78
2014-01-01,75
2014-02-01,91
2014-03-01,72
2014-04-01,76
2014-05-01,67
2014-06-01,60
2014-07-01,77
2014-08-01,94
2014-09-01,71
2014-10-01,67
2014-11-01,68
2014-12-01,69
2015-01-01,72
2015-02-01,79
2015-03-01,50
2015-04-01,68
2015-05-01,56
2015-06-01,64
2015-07-01,77
2015-08-01,68
2015-09-01,74
2015-10-01,74
2015-11-01,58
2015-12-01,84
2016-01-01,66
2016-02-01,64
2016-03-01,49
2016-04-01,54
2016-05-01,67
2016-06-01,57
2016-07-01,66
2016-08-01,60
2016-09-01,69
2016-10-01,61
2016-11-01,56
2016-12-01,76
2017-01-01,60
