date,how to hide one friend on facebook
2011-01-01,44
2011-02-01,65
2011-03-01,33
2011-04-01,27
2011-05-01,42
2011-06-01,60
2011-07-01,85
2011-08-01,56
2011-09-01,62
2011-10-01,74
2011-11-01,75
2011-12-01,74
2012-01-01,61
2012-02-01,42
2012-03-01,60
2012-04-01,55
2012-05-01,39
2012-06-01,100
2012-07-01,53
2012-08-01,85
2012-09-01,78
2012-10-01,59
2012-11-01,78
2012-12-01,54
2013-01-01,59
2013-02-01,72
2013-03-01,58
2013-04-01,81
2013-05-01,53
2013-06-01,87
2013-07-01,69
2013-08-01,37
2013-09-01,36
2013-10-01,24
2013-11-01,60
2013-12-01,80
2014-01-01,61
2014-02-01,46
2014-03-01,50
2014-04-01,43
2014-05-01,33
2014-06-01,32
2014-07-01,88
2014-08-01,26
2014-09-01,40
2014-10-01,43
2014-11-01,24
2014-12-01,38
2015-01-01,44
2015-02-01,38
2015-03-01,35
2015-04-01,50
2015-05-01,35
2015-06-01,63
2015-07-01,40
2015-08-01,39
2015-09-01,30
2015-10-01,37
2015-11-01,25
2015-12-01,59
2016-01-01,56
2016-02-01,48
2016-03-01,26
2016-04-01,42
2016-05-01,70
2016-06-01,68
2016-07-01,35
2016-08-01,45
2016-09-01,53
2016-10-01,43
2016-11-01,57
2016-12-01,47
2017-01-01,47
