date,facebook restricted list
2011-01-01,2
2011-02-01,3
2011-03-01,1
2011-04-01,1
2011-05-01,1
2011-06-01,1
2011-07-01,1
2011-08-01,1
2011-09-01,25
2011-10-01,41
2011-11-01,55
2011-12-01,59
2012-01-01,69
2012-02-01,69
2012-03-01,61
2012-04-01,70
2012-05-01,77
2012-06-01,75
2012-07-01,72
2012-08-01,80
2012-09-01,74
2012-10-01,64
2012-11-01,64
2012-12-01,77
2013-01-01,84
2013-02-01,74
2013-03-01,71
2013-04-01,80
2013-05-01,74
2013-06-01,86
2013-07-01,86
2013-08-01,83
2013-09-01,76
2013-10-01,65
2013-11-01,69
2013-12-01,70
2014-01-01,65
2014-02-01,66
2014-03-01,78
2014-04-01,97
2014-05-01,92
2014-06-01,88
2014-07-01,84
2014-08-01,100
2014-09-01,76
2014-10-01,66
2014-11-01,71
2014-12-01,69
2015-01-01,80
2015-02-01,73
2015-03-01,74
2015-04-01,73
2015-05-01,70
2015-06-01,86
2015-07-01,79
2015-08-01,81
2015-09-01,78
2015-10-01,78
2015-11-01,64
2015-12-01,73
2016-01-01,79
2016-02-01,75
2016-03-01,73
2016-04-01,75
2016-05-01,76
2016-06-01,79
2016-07-01,86
2016-08-01,93
2016-09-01,87
2016-10-01,79
2016-11-01,74
2016-12-01,72
2017-01-01,73
