date,how to add someone to restricted list on facebook
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,18
2011-10-01,17
2011-11-01,42
2011-12-01,42
2012-01-01,23
2012-02-01,56
2012-03-01,67
2012-04-01,86
2012-05-01,51
2012-06-01,46
2012-07-01,89
2012-08-01,30
2012-09-01,73
2012-10-01,47
2012-11-01,20
2012-12-01,81
2013-01-01,61
2013-02-01,61
2013-03-01,42
2013-04-01,37
2013-05-01,53
2013-06-01,68
2013-07-01,36
2013-08-01,36
2013-09-01,41
2013-10-01,50
2013-11-01,96
2013-12-01,56
2014-01-01,53
2014-02-01,52
2014-03-01,52
2014-04-01,54
2014-05-01,91
2014-06-01,84
2014-07-01,58
2014-08-01,82
2014-09-01,34
2014-10-01,32
2014-11-01,44
2014-12-01,59
2015-01-01,30
2015-02-01,49
2015-03-01,54
2015-04-01,36
2015-05-01,69
2015-06-01,50
2015-07-01,35
2015-08-01,69
2015-09-01,43
2015-10-01,55
2015-11-01,75
2015-12-01,38
2016-01-01,86
2016-02-01,67
2016-03-01,42
2016-04-01,100
2016-05-01,50
2016-06-01,56
2016-07-01,53
2016-08-01,73
2016-09-01,64
2016-10-01,93
2016-11-01,37
2016-12-01,65
2017-01-01,61
