date,how to make tagged photos private on facebook
2011-01-01,8
2011-02-01,13
2011-03-01,8
2011-04-01,8
2011-05-01,8
2011-06-01,16
2011-07-01,8
2011-08-01,7
2011-09-01,51
2011-10-01,72
2011-11-01,72
2011-12-01,67
2012-01-01,76
2012-02-01,72
2012-03-01,72
2012-04-01,78
2012-05-01,70
2012-06-01,81
2012-07-01,60
2012-08-01,100
2012-09-01,93
2012-10-01,75
2012-11-01,52
2012-12-01,46
2013-01-01,62
2013-02-01,63
2013-03-01,41
2013-04-01,44
2013-05-01,54
2013-06-01,47
2013-07-01,46
2013-08-01,51
2013-09-01,60
2013-10-01,40
2013-11-01,36
2013-12-01,30
2014-01-01,32
2014-02-01,41
2014-03-01,20
2014-04-01,24
2014-05-01,27
2014-06-01,31
2014-07-01,19
2014-08-01,18
2014-09-01,28
2014-10-01,16
2014-11-01,8
2014-12-01,9
2015-01-01,11
2015-02-01,6
2015-03-01,14
2015-04-01,17
2015-05-01,12
2015-06-01,18
2015-07-01,11
2015-08-01,19
2015-09-01,16
2015-10-01,20
2015-11-01,19
2015-12-01,17
2016-01-01,10
2016-02-01,12
2016-03-01,13
2016-04-01,7
2016-05-01,8
2016-06-01,13
2016-07-01,12
2016-08-01,16
2016-09-01,11
2016-10-01,7
2016-11-01,13
2016-12-01,9
2017-01-01,18
