date,facebook edit friends list restricted
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,44
2011-05-01,39
2011-06-01,39
2011-07-01,39
2011-08-01,39
2011-09-01,39
2011-10-01,37
2011-11-01,37
2011-12-01,36
2012-01-01,100
2012-02-01,58
2012-03-01,33
2012-04-01,34
2012-05-01,65
2012-06-01,66
2012-07-01,81
2012-08-01,33
2012-09-01,32
2012-10-01,87
2012-11-01,44
2012-12-01,29
2013-01-01,27
2013-02-01,30
2013-03-01,26
2013-04-01,27
2013-05-01,26
2013-06-01,36
2013-07-01,53
2013-08-01,52
2013-09-01,77
2013-10-01,56
2013-11-01,74
2013-12-01,74
2014-01-01,46
2014-02-01,75
2014-03-01,45
2014-04-01,62
2014-05-01,35
2014-06-01,66
2014-07-01,25
2014-08-01,94
2014-09-01,37
2014-10-01,54
2014-11-01,32
2014-12-01,55
2015-01-01,44
2015-02-01,71
2015-03-01,76
2015-04-01,59
2015-05-01,22
2015-06-01,73
2015-07-01,58
2015-08-01,86
2015-09-01,84
2015-10-01,67
2015-11-01,95
2015-12-01,84
2016-01-01,59
2016-02-01,65
2016-03-01,55
2016-04-01,66
2016-05-01,80
2016-06-01,63
2016-07-01,70
2016-08-01,94
2016-09-01,49
2016-10-01,82
2016-11-01,53
2016-12-01,41
2017-01-01,67
