date,facebook photo privacy settings
2011-01-01,29
2011-02-01,22
2011-03-01,22
2011-04-01,19
2011-05-01,23
2011-06-01,20
2011-07-01,22
2011-08-01,16
2011-09-01,58
2011-10-01,72
2011-11-01,60
2011-12-01,59
2012-01-01,47
2012-02-01,35
2012-03-01,34
2012-04-01,36
2012-05-01,40
2012-06-01,35
2012-07-01,32
2012-08-01,72
2012-09-01,92
2012-10-01,100
2012-11-01,68
2012-12-01,88
2013-01-01,62
2013-02-01,62
2013-03-01,65
2013-04-01,53
2013-05-01,50
2013-06-01,53
2013-07-01,60
2013-08-01,58
2013-09-01,55
2013-10-01,53
2013-11-01,30
2013-12-01,34
2014-01-01,41
2014-02-01,39
2014-03-01,30
2014-04-01,33
2014-05-01,34
2014-06-01,36
2014-07-01,37
2014-08-01,33
2014-09-01,34
2014-10-01,27
2014-11-01,25
2014-12-01,25
2015-01-01,35
2015-02-01,22
2015-03-01,22
2015-04-01,28
2015-05-01,27
2015-06-01,23
2015-07-01,25
2015-08-01,27
2015-09-01,21
2015-10-01,18
2015-11-01,19
2015-12-01,22
2016-01-01,19
2016-02-01,15
2016-03-01,12
2016-04-01,17
2016-05-01,17
2016-06-01,20
2016-07-01,15
2016-08-01,12
2016-09-01,21
2016-10-01,15
2016-11-01,13
2016-12-01,13
2017-01-01,18
