date,internet privacy definition
2011-01-01,22
2011-02-01,38
2011-03-01,35
2011-04-01,37
2011-05-01,24
2011-06-01,21
2011-07-01,28
2011-08-01,40
2011-09-01,29
2011-10-01,34
2011-11-01,62
2011-12-01,21
2012-01-01,14
2012-02-01,14
2012-03-01,36
2012-04-01,43
2012-05-01,21
2012-06-01,17
2012-07-01,16
2012-08-01,27
2012-09-01,38
2012-10-01,24
2012-11-01,25
2012-12-01,22
2013-01-01,20
2013-02-01,39
2013-03-01,53
2013-04-01,42
2013-05-01,37
2013-06-01,11
2013-07-01,26
2013-08-01,20
2013-09-01,47
2013-10-01,46
2013-11-01,52
2013-12-01,25
2014-01-01,37
2014-02-01,48
2014-03-01,17
2014-04-01,45
2014-05-01,29
2014-06-01,23
2014-07-01,23
2014-08-01,28
2014-09-01,61
2014-10-01,49
2014-11-01,70
2014-12-01,26
2015-01-01,31
2015-02-01,40
2015-03-01,54
2015-04-01,62
2015-05-01,43
2015-06-01,15
2015-07-01,18
2015-08-01,29
2015-09-01,55
2015-10-01,57
2015-11-01,50
2015-12-01,35
2016-01-01,50
2016-02-01,29
2016-03-01,50
2016-04-01,48
2016-05-01,41
2016-06-01,30
2016-07-01,18
2016-08-01,25
2016-09-01,54
2016-10-01,100
2016-11-01,77
2016-12-01,42
2017-01-01,31
