date,facebook friends list on profile
2011-01-01,56
2011-02-01,50
2011-03-01,55
2011-04-01,67
2011-05-01,87
2011-06-01,100
2011-07-01,79
2011-08-01,94
2011-09-01,94
2011-10-01,71
2011-11-01,65
2011-12-01,67
2012-01-01,44
2012-02-01,31
2012-03-01,31
2012-04-01,33
2012-05-01,30
2012-06-01,34
2012-07-01,32
2012-08-01,30
2012-09-01,30
2012-10-01,24
2012-11-01,24
2012-12-01,30
2013-01-01,21
2013-02-01,25
2013-03-01,20
2013-04-01,22
2013-05-01,18
2013-06-01,21
2013-07-01,22
2013-08-01,20
2013-09-01,22
2013-10-01,20
2013-11-01,20
2013-12-01,16
2014-01-01,22
2014-02-01,18
2014-03-01,14
2014-04-01,19
2014-05-01,21
2014-06-01,20
2014-07-01,19
2014-08-01,15
2014-09-01,19
2014-10-01,17
2014-11-01,18
2014-12-01,17
2015-01-01,17
2015-02-01,15
2015-03-01,19
2015-04-01,15
2015-05-01,15
2015-06-01,21
2015-07-01,20
2015-08-01,16
2015-09-01,12
2015-10-01,16
2015-11-01,15
2015-12-01,16
2016-01-01,18
2016-02-01,18
2016-03-01,17
2016-04-01,16
2016-05-01,17
2016-06-01,19
2016-07-01,19
2016-08-01,20
2016-09-01,17
2016-10-01,18
2016-11-01,20
2016-12-01,20
2017-01-01,21
