date,facebook settings page
2011-01-01,46
2011-02-01,76
2011-03-01,57
2011-04-01,67
2011-05-01,62
2011-06-01,67
2011-07-01,61
2011-08-01,69
2011-09-01,73
2011-10-01,67
2011-11-01,82
2011-12-01,76
2012-01-01,84
2012-02-01,67
2012-03-01,84
2012-04-01,68
2012-05-01,78
2012-06-01,70
2012-07-01,65
2012-08-01,56
2012-09-01,64
2012-10-01,57
2012-11-01,55
2012-12-01,71
2013-01-01,96
2013-02-01,74
2013-03-01,73
2013-04-01,75
2013-05-01,90
2013-06-01,83
2013-07-01,93
2013-08-01,63
2013-09-01,100
2013-10-01,87
2013-11-01,58
2013-12-01,46
2014-01-01,46
2014-02-01,51
2014-03-01,56
2014-04-01,51
2014-05-01,49
2014-06-01,40
2014-07-01,64
2014-08-01,57
2014-09-01,47
2014-10-01,45
2014-11-01,46
2014-12-01,50
2015-01-01,52
2015-02-01,51
2015-03-01,50
2015-04-01,51
2015-05-01,46
2015-06-01,58
2015-07-01,49
2015-08-01,52
2015-09-01,46
2015-10-01,43
2015-11-01,51
2015-12-01,44
2016-01-01,48
2016-02-01,52
2016-03-01,49
2016-04-01,63
2016-05-01,47
2016-06-01,57
2016-07-01,49
2016-08-01,58
2016-09-01,47
2016-10-01,58
2016-11-01,55
2016-12-01,55
2017-01-01,51
