date,facebook sign up gmail account
2011-01-01,16
2011-02-01,11
2011-03-01,14
2011-04-01,26
2011-05-01,27
2011-06-01,47
2011-07-01,53
2011-08-01,60
2011-09-01,42
2011-10-01,24
2011-11-01,17
2011-12-01,18
2012-01-01,19
2012-02-01,24
2012-03-01,15
2012-04-01,13
2012-05-01,16
2012-06-01,15
2012-07-01,20
2012-08-01,21
2012-09-01,20
2012-10-01,25
2012-11-01,19
2012-12-01,18
2013-01-01,15
2013-02-01,15
2013-03-01,22
2013-04-01,27
2013-05-01,24
2013-06-01,29
2013-07-01,29
2013-08-01,43
2013-09-01,29
2013-10-01,40
2013-11-01,43
2013-12-01,55
2014-01-01,39
2014-02-01,31
2014-03-01,46
2014-04-01,71
2014-05-01,75
2014-06-01,41
2014-07-01,45
2014-08-01,97
2014-09-01,100
2014-10-01,43
2014-11-01,48
2014-12-01,38
2015-01-01,76
2015-02-01,65
2015-03-01,44
2015-04-01,56
2015-05-01,36
2015-06-01,33
2015-07-01,29
2015-08-01,45
2015-09-01,25
2015-10-01,29
2015-11-01,26
2015-12-01,29
2016-01-01,39
2016-02-01,32
2016-03-01,32
2016-04-01,21
2016-05-01,28
2016-06-01,38
2016-07-01,41
2016-08-01,35
2016-09-01,19
2016-10-01,33
2016-11-01,37
2016-12-01,27
2017-01-01,29
