date,internet privacy software
2011-01-01,57
2011-02-01,77
2011-03-01,75
2011-04-01,52
2011-05-01,67
2011-06-01,100
2011-07-01,46
2011-08-01,61
2011-09-01,57
2011-10-01,72
2011-11-01,46
2011-12-01,61
2012-01-01,56
2012-02-01,74
2012-03-01,67
2012-04-01,68
2012-05-01,59
2012-06-01,39
2012-07-01,81
2012-08-01,59
2012-09-01,37
2012-10-01,36
2012-11-01,63
2012-12-01,48
2013-01-01,49
2013-02-01,50
2013-03-01,58
2013-04-01,74
2013-05-01,44
2013-06-01,51
2013-07-01,37
2013-08-01,36
2013-09-01,26
2013-10-01,41
2013-11-01,58
2013-12-01,44
2014-01-01,47
2014-02-01,57
2014-03-01,60
2014-04-01,48
2014-05-01,40
2014-06-01,46
2014-07-01,49
2014-08-01,49
2014-09-01,25
2014-10-01,46
2014-11-01,35
2014-12-01,36
2015-01-01,29
2015-02-01,57
2015-03-01,33
2015-04-01,42
2015-05-01,25
2015-06-01,26
2015-07-01,34
2015-08-01,28
2015-09-01,34
2015-10-01,31
2015-11-01,34
2015-12-01,31
2016-01-01,46
2016-02-01,54
2016-03-01,36
2016-04-01,26
2016-05-01,20
2016-06-01,33
2016-07-01,25
2016-08-01,16
2016-09-01,27
2016-10-01,43
2016-11-01,30
2016-12-01,26
2017-01-01,23
