date,facebook friends list order
2011-01-01,22
2011-02-01,28
2011-03-01,35
2011-04-01,49
2011-05-01,61
2011-06-01,67
2011-07-01,59
2011-08-01,81
2011-09-01,68
2011-10-01,39
2011-11-01,29
2011-12-01,35
2012-01-01,27
2012-02-01,24
2012-03-01,20
2012-04-01,33
2012-05-01,26
2012-06-01,27
2012-07-01,20
2012-08-01,20
2012-09-01,20
2012-10-01,12
2012-11-01,16
2012-12-01,100
2013-01-01,18
2013-02-01,13
2013-03-01,15
2013-04-01,15
2013-05-01,20
2013-06-01,21
2013-07-01,23
2013-08-01,24
2013-09-01,19
2013-10-01,23
2013-11-01,27
2013-12-01,22
2014-01-01,23
2014-02-01,20
2014-03-01,21
2014-04-01,29
2014-05-01,24
2014-06-01,22
2014-07-01,33
2014-08-01,31
2014-09-01,28
2014-10-01,26
2014-11-01,24
2014-12-01,28
2015-01-01,24
2015-02-01,21
2015-03-01,23
2015-04-01,26
2015-05-01,21
2015-06-01,18
2015-07-01,20
2015-08-01,24
2015-09-01,20
2015-10-01,12
2015-11-01,16
2015-12-01,16
2016-01-01,13
2016-02-01,18
2016-03-01,14
2016-04-01,10
2016-05-01,10
2016-06-01,9
2016-07-01,11
2016-08-01,11
2016-09-01,10
2016-10-01,10
2016-11-01,13
2016-12-01,10
2017-01-01,11
