date,verisign class 3 secure server ca  g3
2011-01-01,37
2011-02-01,60
2011-03-01,77
2011-04-01,99
2011-05-01,93
2011-06-01,32
2011-07-01,71
2011-08-01,59
2011-09-01,94
2011-10-01,89
2011-11-01,76
2011-12-01,74
2012-01-01,100
2012-02-01,39
2012-03-01,18
2012-04-01,38
2012-05-01,45
2012-06-01,37
2012-07-01,36
2012-08-01,48
2012-09-01,36
2012-10-01,41
2012-11-01,17
2012-12-01,17
2013-01-01,15
2013-02-01,17
2013-03-01,44
2013-04-01,25
2013-05-01,15
2013-06-01,15
2013-07-01,29
2013-08-01,29
2013-09-01,36
2013-10-01,27
2013-11-01,21
2013-12-01,14
2014-01-01,26
2014-02-01,14
2014-03-01,13
2014-04-01,17
2014-05-01,13
2014-06-01,30
2014-07-01,14
2014-08-01,29
2014-09-01,14
2014-10-01,13
2014-11-01,26
2014-12-01,13
2015-01-01,12
2015-02-01,13
2015-03-01,12
2015-04-01,19
2015-05-01,12
2015-06-01,12
2015-07-01,12
2015-08-01,24
2015-09-01,12
2015-10-01,22
2015-11-01,11
2015-12-01,12
2016-01-01,11
2016-02-01,11
2016-03-01,10
2016-04-01,11
2016-05-01,0
2016-06-01,0
2016-07-01,0
2016-08-01,0
2016-09-01,0
2016-10-01,0
2016-11-01,0
2016-12-01,10
2017-01-01,0
