date,top 6 friends on facebook
2011-01-01,0
2011-02-01,17
2011-03-01,16
2011-04-01,16
2011-05-01,16
2011-06-01,16
2011-07-01,15
2011-08-01,29
2011-09-01,13
2011-10-01,13
2011-11-01,13
2011-12-01,13
2012-01-01,33
2012-02-01,17
2012-03-01,40
2012-04-01,32
2012-05-01,20
2012-06-01,61
2012-07-01,60
2012-08-01,64
2012-09-01,51
2012-10-01,61
2012-11-01,43
2012-12-01,91
2013-01-01,43
2013-02-01,62
2013-03-01,68
2013-04-01,30
2013-05-01,38
2013-06-01,46
2013-07-01,29
2013-08-01,38
2013-09-01,22
2013-10-01,24
2013-11-01,30
2013-12-01,27
2014-01-01,42
2014-02-01,31
2014-03-01,36
2014-04-01,43
2014-05-01,49
2014-06-01,45
2014-07-01,34
2014-08-01,28
2014-09-01,30
2014-10-01,60
2014-11-01,38
2014-12-01,43
2015-01-01,38
2015-02-01,41
2015-03-01,27
2015-04-01,35
2015-05-01,24
2015-06-01,38
2015-07-01,35
2015-08-01,32
2015-09-01,29
2015-10-01,26
2015-11-01,15
2015-12-01,15
2016-01-01,34
2016-02-01,26
2016-03-01,45
2016-04-01,42
2016-05-01,54
2016-06-01,65
2016-07-01,75
2016-08-01,90
2016-09-01,55
2016-10-01,69
2016-11-01,100
2016-12-01,65
2017-01-01,84
