date,facebook privacy settings friends list
2011-01-01,25
2011-02-01,24
2011-03-01,20
2011-04-01,22
2011-05-01,20
2011-06-01,24
2011-07-01,30
2011-08-01,30
2011-09-01,46
2011-10-01,44
2011-11-01,21
2011-12-01,24
2012-01-01,19
2012-02-01,20
2012-03-01,17
2012-04-01,20
2012-05-01,24
2012-06-01,19
2012-07-01,26
2012-08-01,29
2012-09-01,14
2012-10-01,17
2012-11-01,22
2012-12-01,25
2013-01-01,10
2013-02-01,11
2013-03-01,100
2013-04-01,25
2013-05-01,46
2013-06-01,24
2013-07-01,38
2013-08-01,22
2013-09-01,17
2013-10-01,10
2013-11-01,15
2013-12-01,24
2014-01-01,19
2014-02-01,17
2014-03-01,13
2014-04-01,17
2014-05-01,12
2014-06-01,9
2014-07-01,21
2014-08-01,13
2014-09-01,9
2014-10-01,13
2014-11-01,12
2014-12-01,12
2015-01-01,17
2015-02-01,22
2015-03-01,17
2015-04-01,22
2015-05-01,21
2015-06-01,15
2015-07-01,15
2015-08-01,18
2015-09-01,22
2015-10-01,22
2015-11-01,17
2015-12-01,16
2016-01-01,12
2016-02-01,16
2016-03-01,18
2016-04-01,26
2016-05-01,16
2016-06-01,29
2016-07-01,18
2016-08-01,19
2016-09-01,22
2016-10-01,24
2016-11-01,17
2016-12-01,30
2017-01-01,27
