date,what is privacy
2011-01-01,64
2011-02-01,70
2011-03-01,76
2011-04-01,74
2011-05-01,69
2011-06-01,66
2011-07-01,56
2011-08-01,62
2011-09-01,72
2011-10-01,65
2011-11-01,81
2011-12-01,65
2012-01-01,68
2012-02-01,85
2012-03-01,80
2012-04-01,80
2012-05-01,77
2012-06-01,64
2012-07-01,65
2012-08-01,68
2012-09-01,82
2012-10-01,81
2012-11-01,78
2012-12-01,69
2013-01-01,72
2013-02-01,83
2013-03-01,82
2013-04-01,85
2013-05-01,79
2013-06-01,73
2013-07-01,67
2013-08-01,71
2013-09-01,88
2013-10-01,92
2013-11-01,85
2013-12-01,78
2014-01-01,77
2014-02-01,90
2014-03-01,100
2014-04-01,95
2014-05-01,93
2014-06-01,75
2014-07-01,73
2014-08-01,71
2014-09-01,92
2014-10-01,92
2014-11-01,81
2014-12-01,75
2015-01-01,77
2015-02-01,84
2015-03-01,88
2015-04-01,87
2015-05-01,80
2015-06-01,71
2015-07-01,67
2015-08-01,73
2015-09-01,97
2015-10-01,93
2015-11-01,88
2015-12-01,75
2016-01-01,78
2016-02-01,94
2016-03-01,94
2016-04-01,99
2016-05-01,93
2016-06-01,78
2016-07-01,73
2016-08-01,73
2016-09-01,86
2016-10-01,96
2016-11-01,95
2016-12-01,78
2017-01-01,83
