date,verisign india
2011-01-01,73
2011-02-01,97
2011-03-01,61
2011-04-01,90
2011-05-01,84
2011-06-01,49
2011-07-01,100
2011-08-01,42
2011-09-01,54
2011-10-01,52
2011-11-01,39
2011-12-01,67
2012-01-01,77
2012-02-01,77
2012-03-01,61
2012-04-01,66
2012-05-01,54
2012-06-01,70
2012-07-01,57
2012-08-01,54
2012-09-01,31
2012-10-01,33
2012-11-01,31
2012-12-01,47
2013-01-01,38
2013-02-01,29
2013-03-01,44
2013-04-01,26
2013-05-01,39
2013-06-01,25
2013-07-01,30
2013-08-01,37
2013-09-01,20
2013-10-01,19
2013-11-01,15
2013-12-01,20
2014-01-01,28
2014-02-01,26
2014-03-01,26
2014-04-01,43
2014-05-01,16
2014-06-01,12
2014-07-01,20
2014-08-01,14
2014-09-01,24
2014-10-01,22
2014-11-01,27
2014-12-01,27
2015-01-01,27
2015-02-01,25
2015-03-01,19
2015-04-01,23
2015-05-01,17
2015-06-01,17
2015-07-01,21
2015-08-01,28
2015-09-01,19
2015-10-01,26
2015-11-01,9
2015-12-01,17
2016-01-01,9
2016-02-01,18
2016-03-01,14
2016-04-01,13
2016-05-01,13
2016-06-01,15
2016-07-01,17
2016-08-01,16
2016-09-01,10
2016-10-01,9
2016-11-01,14
2016-12-01,14
2017-01-01,13
