date,how to delete friends list on facebook
2011-01-01,52
2011-02-01,45
2011-03-01,37
2011-04-01,53
2011-05-01,61
2011-06-01,57
2011-07-01,58
2011-08-01,71
2011-09-01,78
2011-10-01,57
2011-11-01,64
2011-12-01,59
2012-01-01,60
2012-02-01,49
2012-03-01,55
2012-04-01,54
2012-05-01,72
2012-06-01,92
2012-07-01,76
2012-08-01,100
2012-09-01,91
2012-10-01,55
2012-11-01,47
2012-12-01,46
2013-01-01,41
2013-02-01,38
2013-03-01,42
2013-04-01,39
2013-05-01,30
2013-06-01,18
2013-07-01,41
2013-08-01,35
2013-09-01,31
2013-10-01,27
2013-11-01,25
2013-12-01,26
2014-01-01,42
2014-02-01,31
2014-03-01,42
2014-04-01,33
2014-05-01,36
2014-06-01,29
2014-07-01,30
2014-08-01,38
2014-09-01,32
2014-10-01,26
2014-11-01,25
2014-12-01,36
2015-01-01,31
2015-02-01,34
2015-03-01,19
2015-04-01,27
2015-05-01,26
2015-06-01,21
2015-07-01,29
2015-08-01,25
2015-09-01,29
2015-10-01,29
2015-11-01,18
2015-12-01,29
2016-01-01,26
2016-02-01,23
2016-03-01,20
2016-04-01,21
2016-05-01,23
2016-06-01,20
2016-07-01,33
2016-08-01,35
2016-09-01,34
2016-10-01,26
2016-11-01,30
2016-12-01,29
2017-01-01,41
