date,facebook restricted list edit
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,14
2011-07-01,13
2011-08-01,13
2011-09-01,13
2011-10-01,42
2011-11-01,31
2011-12-01,66
2012-01-01,28
2012-02-01,52
2012-03-01,32
2012-04-01,39
2012-05-01,79
2012-06-01,60
2012-07-01,32
2012-08-01,32
2012-09-01,26
2012-10-01,29
2012-11-01,34
2012-12-01,29
2013-01-01,66
2013-02-01,73
2013-03-01,52
2013-04-01,88
2013-05-01,68
2013-06-01,57
2013-07-01,100
2013-08-01,60
2013-09-01,67
2013-10-01,76
2013-11-01,40
2013-12-01,41
2014-01-01,34
2014-02-01,54
2014-03-01,67
2014-04-01,73
2014-05-01,74
2014-06-01,69
2014-07-01,42
2014-08-01,76
2014-09-01,36
2014-10-01,23
2014-11-01,63
2014-12-01,31
2015-01-01,54
2015-02-01,39
2015-03-01,68
2015-04-01,58
2015-05-01,68
2015-06-01,62
2015-07-01,75
2015-08-01,95
2015-09-01,49
2015-10-01,76
2015-11-01,47
2015-12-01,55
2016-01-01,45
2016-02-01,29
2016-03-01,87
2016-04-01,53
2016-05-01,72
2016-06-01,78
2016-07-01,63
2016-08-01,77
2016-09-01,80
2016-10-01,78
2016-11-01,79
2016-12-01,65
2017-01-01,63
