date,how to hide friends list in facebook
2011-01-01,47
2011-02-01,44
2011-03-01,43
2011-04-01,51
2011-05-01,45
2011-06-01,72
2011-07-01,78
2011-08-01,83
2011-09-01,100
2011-10-01,91
2011-11-01,47
2011-12-01,66
2012-01-01,92
2012-02-01,62
2012-03-01,64
2012-04-01,50
2012-05-01,51
2012-06-01,51
2012-07-01,47
2012-08-01,93
2012-09-01,69
2012-10-01,47
2012-11-01,45
2012-12-01,61
2013-01-01,59
2013-02-01,62
2013-03-01,51
2013-04-01,54
2013-05-01,56
2013-06-01,48
2013-07-01,49
2013-08-01,59
2013-09-01,51
2013-10-01,34
2013-11-01,38
2013-12-01,48
2014-01-01,49
2014-02-01,36
2014-03-01,32
2014-04-01,44
2014-05-01,52
2014-06-01,48
2014-07-01,36
2014-08-01,44
2014-09-01,48
2014-10-01,53
2014-11-01,25
2014-12-01,30
2015-01-01,28
2015-02-01,34
2015-03-01,39
2015-04-01,46
2015-05-01,48
2015-06-01,41
2015-07-01,44
2015-08-01,43
2015-09-01,55
2015-10-01,46
2015-11-01,38
2015-12-01,45
2016-01-01,53
2016-02-01,52
2016-03-01,45
2016-04-01,62
2016-05-01,63
2016-06-01,76
2016-07-01,78
2016-08-01,68
2016-09-01,59
2016-10-01,63
2016-11-01,79
2016-12-01,77
2017-01-01,65
