date,How to change settings on youtube,youtube private channel
2011-01-01,15,39
2011-02-01,16,38
2011-03-01,20,26
2011-04-01,9,36
2011-05-01,14,32
2011-06-01,15,40
2011-07-01,18,43
2011-08-01,15,43
2011-09-01,17,51
2011-10-01,14,41
2011-11-01,14,49
2011-12-01,18,80
2012-01-01,24,66
2012-02-01,19,72
2012-03-01,21,74
2012-04-01,19,68
2012-05-01,24,53
2012-06-01,21,56
2012-07-01,30,71
2012-08-01,28,71
2012-09-01,34,78
2012-10-01,25,59
2012-11-01,26,54
2012-12-01,30,76
2013-01-01,30,79
2013-02-01,38,75
2013-03-01,37,72
2013-04-01,32,83
2013-05-01,31,58
2013-06-01,32,66
2013-07-01,38,79
2013-08-01,43,100
2013-09-01,35,80
2013-10-01,29,69
2013-11-01,34,65
2013-12-01,38,78
2014-01-01,40,77
2014-02-01,40,83
2014-03-01,32,68
2014-04-01,38,67
2014-05-01,36,63
2014-06-01,31,67
2014-07-01,32,64
2014-08-01,33,60
2014-09-01,34,59
2014-10-01,38,53
2014-11-01,26,56
2014-12-01,30,58
2015-01-01,35,59
2015-02-01,29,63
2015-03-01,35,70
2015-04-01,33,56
2015-05-01,40,72
2015-06-01,35,60
2015-07-01,33,59
2015-08-01,31,70
2015-09-01,29,53
2015-10-01,29,52
2015-11-01,29,66
2015-12-01,35,57
2016-01-01,30,69
2016-02-01,30,53
2016-03-01,26,62
2016-04-01,30,66
2016-05-01,30,60
2016-06-01,33,58
2016-07-01,23,61
2016-08-01,26,66
2016-09-01,27,57
2016-10-01,23,61
2016-11-01,26,53
2016-12-01,29,62
2017-01-01,31,70
