date,change youtube settings,youtube private channel
2011-01-01,39,28
2011-02-01,37,28
2011-03-01,37,22
2011-04-01,29,28
2011-05-01,37,26
2011-06-01,37,38
2011-07-01,47,32
2011-08-01,47,36
2011-09-01,44,33
2011-10-01,46,35
2011-11-01,49,42
2011-12-01,50,55
2012-01-01,54,52
2012-02-01,54,53
2012-03-01,59,60
2012-04-01,52,45
2012-05-01,44,48
2012-06-01,55,40
2012-07-01,62,45
2012-08-01,63,53
2012-09-01,71,55
2012-10-01,65,42
2012-11-01,71,50
2012-12-01,81,58
2013-01-01,69,59
2013-02-01,74,59
2013-03-01,79,61
2013-04-01,78,51
2013-05-01,67,45
2013-06-01,70,49
2013-07-01,74,64
2013-08-01,81,73
2013-09-01,78,64
2013-10-01,74,52
2013-11-01,84,51
2013-12-01,84,57
2014-01-01,100,56
2014-02-01,76,65
2014-03-01,83,47
2014-04-01,82,56
2014-05-01,78,45
2014-06-01,72,41
2014-07-01,83,50
2014-08-01,78,39
2014-09-01,80,42
2014-10-01,76,41
2014-11-01,78,45
2014-12-01,87,50
2015-01-01,92,50
2015-02-01,85,49
2015-03-01,84,50
2015-04-01,74,46
2015-05-01,85,47
2015-06-01,86,41
2015-07-01,91,44
2015-08-01,81,43
2015-09-01,75,44
2015-10-01,79,40
2015-11-01,74,42
2015-12-01,80,42
2016-01-01,83,49
2016-02-01,69,42
2016-03-01,76,45
2016-04-01,72,52
2016-05-01,77,43
2016-06-01,74,48
2016-07-01,74,39
2016-08-01,76,50
2016-09-01,83,44
2016-10-01,75,48
2016-11-01,80,37
2016-12-01,75,44
2017-01-01,81,55
