date,youtube privacy,youtube private channel
2011-01-01,54,14
2011-02-01,60,14
2011-03-01,58,10
2011-04-01,58,13
2011-05-01,53,12
2011-06-01,56,15
2011-07-01,50,16
2011-08-01,52,16
2011-09-01,80,19
2011-10-01,80,15
2011-11-01,74,18
2011-12-01,71,29
2012-01-01,86,24
2012-02-01,100,26
2012-03-01,91,27
2012-04-01,75,25
2012-05-01,56,19
2012-06-01,43,21
2012-07-01,68,26
2012-08-01,62,26
2012-09-01,55,29
2012-10-01,70,22
2012-11-01,69,20
2012-12-01,81,28
2013-01-01,71,29
2013-02-01,72,28
2013-03-01,74,26
2013-04-01,62,30
2013-05-01,58,21
2013-06-01,56,24
2013-07-01,48,29
2013-08-01,50,37
2013-09-01,51,29
2013-10-01,61,25
2013-11-01,62,24
2013-12-01,56,29
2014-01-01,60,28
2014-02-01,56,31
2014-03-01,59,25
2014-04-01,61,24
2014-05-01,66,23
2014-06-01,52,25
2014-07-01,52,24
2014-08-01,55,22
2014-09-01,61,21
2014-10-01,64,19
2014-11-01,62,20
2014-12-01,66,21
2015-01-01,64,22
2015-02-01,61,23
2015-03-01,67,26
2015-04-01,64,21
2015-05-01,64,26
2015-06-01,58,22
2015-07-01,58,21
2015-08-01,69,25
2015-09-01,65,19
2015-10-01,68,19
2015-11-01,67,24
2015-12-01,61,21
2016-01-01,66,25
2016-02-01,64,20
2016-03-01,72,23
2016-04-01,67,24
2016-05-01,66,22
2016-06-01,59,21
2016-07-01,55,22
2016-08-01,60,24
2016-09-01,63,21
2016-10-01,68,22
2016-11-01,59,19
2016-12-01,53,23
2017-01-01,67,25
