date,youtube private link,youtube private channel
2011-01-01,6,42
2011-02-01,6,35
2011-03-01,12,27
2011-04-01,3,41
2011-05-01,9,32
2011-06-01,9,43
2011-07-01,4,42
2011-08-01,8,50
2011-09-01,9,58
2011-10-01,7,50
2011-11-01,8,54
2011-12-01,6,75
2012-01-01,12,67
2012-02-01,8,63
2012-03-01,11,73
2012-04-01,10,60
2012-05-01,12,64
2012-06-01,11,62
2012-07-01,5,61
2012-08-01,13,71
2012-09-01,9,73
2012-10-01,16,61
2012-11-01,11,63
2012-12-01,20,68
2013-01-01,12,82
2013-02-01,12,77
2013-03-01,16,79
2013-04-01,17,76
2013-05-01,13,64
2013-06-01,12,67
2013-07-01,13,81
2013-08-01,15,100
2013-09-01,19,82
2013-10-01,15,72
2013-11-01,20,65
2013-12-01,18,85
2014-01-01,15,76
2014-02-01,18,80
2014-03-01,22,74
2014-04-01,24,70
2014-05-01,16,60
2014-06-01,15,59
2014-07-01,19,64
2014-08-01,21,66
2014-09-01,24,59
2014-10-01,22,58
2014-11-01,20,67
2014-12-01,18,69
2015-01-01,16,63
2015-02-01,25,70
2015-03-01,18,73
2015-04-01,21,64
2015-05-01,21,76
2015-06-01,27,61
2015-07-01,25,63
2015-08-01,19,69
2015-09-01,23,55
2015-10-01,23,59
2015-11-01,24,61
2015-12-01,21,63
2016-01-01,25,74
2016-02-01,23,51
2016-03-01,22,69
2016-04-01,26,64
2016-05-01,24,60
2016-06-01,27,58
2016-07-01,24,58
2016-08-01,23,63
2016-09-01,22,52
2016-10-01,22,63
2016-11-01,25,59
2016-12-01,20,61
2017-01-01,26,77
