date,vimeo private video,youtube private channel
2011-01-01,14,42
2011-02-01,16,35
2011-03-01,15,27
2011-04-01,16,41
2011-05-01,24,32
2011-06-01,23,43
2011-07-01,17,42
2011-08-01,23,50
2011-09-01,21,58
2011-10-01,18,50
2011-11-01,13,54
2011-12-01,27,75
2012-01-01,18,67
2012-02-01,23,63
2012-03-01,25,73
2012-04-01,31,60
2012-05-01,34,64
2012-06-01,30,62
2012-07-01,23,61
2012-08-01,27,71
2012-09-01,31,73
2012-10-01,33,61
2012-11-01,34,63
2012-12-01,32,68
2013-01-01,28,82
2013-02-01,35,77
2013-03-01,34,79
2013-04-01,41,76
2013-05-01,34,64
2013-06-01,35,67
2013-07-01,39,81
2013-08-01,42,100
2013-09-01,35,82
2013-10-01,40,72
2013-11-01,37,65
2013-12-01,36,85
2014-01-01,36,76
2014-02-01,40,80
2014-03-01,37,74
2014-04-01,41,70
2014-05-01,42,60
2014-06-01,39,59
2014-07-01,44,64
2014-08-01,40,66
2014-09-01,38,59
2014-10-01,35,58
2014-11-01,45,67
2014-12-01,43,69
2015-01-01,36,63
2015-02-01,34,70
2015-03-01,38,73
2015-04-01,44,64
2015-05-01,40,76
2015-06-01,45,61
2015-07-01,35,63
2015-08-01,31,69
2015-09-01,41,55
2015-10-01,43,59
2015-11-01,36,61
2015-12-01,35,63
2016-01-01,38,74
2016-02-01,47,51
2016-03-01,47,69
2016-04-01,43,64
2016-05-01,50,60
2016-06-01,37,58
2016-07-01,37,58
2016-08-01,41,63
2016-09-01,41,52
2016-10-01,45,63
2016-11-01,41,59
2016-12-01,34,61
2017-01-01,50,77
