date,how to share a private youtube video,youtube private channel
2011-01-01,0,42
2011-02-01,3,35
2011-03-01,2,27
2011-04-01,2,41
2011-05-01,7,32
2011-06-01,2,43
2011-07-01,2,42
2011-08-01,2,50
2011-09-01,2,58
2011-10-01,2,50
2011-11-01,5,54
2011-12-01,4,75
2012-01-01,3,67
2012-02-01,5,63
2012-03-01,4,73
2012-04-01,5,60
2012-05-01,3,64
2012-06-01,8,62
2012-07-01,2,61
2012-08-01,8,71
2012-09-01,5,73
2012-10-01,9,61
2012-11-01,11,63
2012-12-01,13,68
2013-01-01,9,82
2013-02-01,10,77
2013-03-01,11,79
2013-04-01,7,76
2013-05-01,10,64
2013-06-01,8,67
2013-07-01,4,81
2013-08-01,9,100
2013-09-01,9,82
2013-10-01,7,72
2013-11-01,8,65
2013-12-01,10,85
2014-01-01,9,76
2014-02-01,9,80
2014-03-01,6,74
2014-04-01,16,70
2014-05-01,13,60
2014-06-01,8,59
2014-07-01,11,64
2014-08-01,10,66
2014-09-01,8,59
2014-10-01,13,58
2014-11-01,10,67
2014-12-01,16,69
2015-01-01,10,63
2015-02-01,17,70
2015-03-01,11,73
2015-04-01,15,64
2015-05-01,17,76
2015-06-01,15,61
2015-07-01,9,63
2015-08-01,12,69
2015-09-01,13,55
2015-10-01,13,59
2015-11-01,17,61
2015-12-01,14,63
2016-01-01,14,74
2016-02-01,10,51
2016-03-01,12,69
2016-04-01,11,64
2016-05-01,17,60
2016-06-01,13,58
2016-07-01,12,58
2016-08-01,12,63
2016-09-01,12,52
2016-10-01,8,63
2016-11-01,13,59
2016-12-01,8,61
2017-01-01,15,77
