date,youtube privacy settings,youtube private channel
2011-01-01,6,39
2011-02-01,10,38
2011-03-01,13,26
2011-04-01,12,36
2011-05-01,6,32
2011-06-01,11,40
2011-07-01,12,43
2011-08-01,10,43
2011-09-01,12,51
2011-10-01,15,41
2011-11-01,12,49
2011-12-01,18,80
2012-01-01,16,66
2012-02-01,17,72
2012-03-01,20,74
2012-04-01,17,68
2012-05-01,18,53
2012-06-01,16,56
2012-07-01,12,71
2012-08-01,18,71
2012-09-01,24,78
2012-10-01,16,59
2012-11-01,20,54
2012-12-01,19,76
2013-01-01,22,79
2013-02-01,30,75
2013-03-01,19,72
2013-04-01,22,83
2013-05-01,26,58
2013-06-01,20,66
2013-07-01,26,79
2013-08-01,26,100
2013-09-01,27,80
2013-10-01,31,69
2013-11-01,33,65
2013-12-01,31,78
2014-01-01,27,77
2014-02-01,34,83
2014-03-01,26,68
2014-04-01,24,67
2014-05-01,26,63
2014-06-01,27,67
2014-07-01,33,64
2014-08-01,27,60
2014-09-01,31,59
2014-10-01,28,53
2014-11-01,36,56
2014-12-01,27,58
2015-01-01,27,59
2015-02-01,25,63
2015-03-01,32,70
2015-04-01,30,56
2015-05-01,39,72
2015-06-01,28,60
2015-07-01,28,59
2015-08-01,36,70
2015-09-01,25,53
2015-10-01,34,52
2015-11-01,28,66
2015-12-01,34,57
2016-01-01,30,69
2016-02-01,28,53
2016-03-01,28,62
2016-04-01,24,66
2016-05-01,25,60
2016-06-01,31,58
2016-07-01,26,61
2016-08-01,27,66
2016-09-01,27,57
2016-10-01,26,61
2016-11-01,23,53
2016-12-01,22,62
2017-01-01,21,70
