date,make youtube video private,youtube private channel
2011-01-01,23,42
2011-02-01,22,35
2011-03-01,26,27
2011-04-01,25,41
2011-05-01,26,32
2011-06-01,30,43
2011-07-01,28,42
2011-08-01,25,50
2011-09-01,22,58
2011-10-01,26,50
2011-11-01,25,54
2011-12-01,30,75
2012-01-01,30,67
2012-02-01,25,63
2012-03-01,26,73
2012-04-01,29,60
2012-05-01,28,64
2012-06-01,28,62
2012-07-01,25,61
2012-08-01,29,71
2012-09-01,28,73
2012-10-01,32,61
2012-11-01,31,63
2012-12-01,31,68
2013-01-01,37,82
2013-02-01,39,77
2013-03-01,37,79
2013-04-01,35,76
2013-05-01,39,64
2013-06-01,32,67
2013-07-01,34,81
2013-08-01,29,100
2013-09-01,25,82
2013-10-01,24,72
2013-11-01,31,65
2013-12-01,40,85
2014-01-01,29,76
2014-02-01,45,80
2014-03-01,49,74
2014-04-01,47,70
2014-05-01,57,60
2014-06-01,53,59
2014-07-01,46,64
2014-08-01,38,66
2014-09-01,35,59
2014-10-01,34,58
2014-11-01,32,67
2014-12-01,35,69
2015-01-01,46,63
2015-02-01,45,70
2015-03-01,42,73
2015-04-01,48,64
2015-05-01,49,76
2015-06-01,45,61
2015-07-01,34,63
2015-08-01,37,69
2015-09-01,40,55
2015-10-01,39,59
2015-11-01,49,61
2015-12-01,44,63
2016-01-01,53,74
2016-02-01,38,51
2016-03-01,39,69
2016-04-01,50,64
2016-05-01,41,60
2016-06-01,35,58
2016-07-01,40,58
2016-08-01,37,63
2016-09-01,39,52
2016-10-01,36,63
2016-11-01,38,59
2016-12-01,40,61
2017-01-01,39,77
