date,youtube unlisted video,youtube private channel
2011-01-01,11,36
2011-02-01,16,30
2011-03-01,13,23
2011-04-01,11,35
2011-05-01,17,27
2011-06-01,14,36
2011-07-01,18,36
2011-08-01,19,42
2011-09-01,19,49
2011-10-01,24,43
2011-11-01,25,46
2011-12-01,17,64
2012-01-01,19,57
2012-02-01,23,53
2012-03-01,22,62
2012-04-01,29,50
2012-05-01,28,54
2012-06-01,27,52
2012-07-01,25,52
2012-08-01,30,60
2012-09-01,26,61
2012-10-01,26,51
2012-11-01,30,54
2012-12-01,32,58
2013-01-01,30,69
2013-02-01,37,65
2013-03-01,30,67
2013-04-01,27,64
2013-05-01,25,54
2013-06-01,27,57
2013-07-01,30,68
2013-08-01,34,85
2013-09-01,28,69
2013-10-01,30,61
2013-11-01,47,55
2013-12-01,54,72
2014-01-01,40,64
2014-02-01,44,67
2014-03-01,59,63
2014-04-01,73,59
2014-05-01,70,51
2014-06-01,70,50
2014-07-01,63,54
2014-08-01,76,55
2014-09-01,70,50
2014-10-01,63,49
2014-11-01,66,57
2014-12-01,63,58
2015-01-01,67,53
2015-02-01,69,59
2015-03-01,67,62
2015-04-01,70,54
2015-05-01,76,64
2015-06-01,68,52
2015-07-01,64,53
2015-08-01,74,58
2015-09-01,72,47
2015-10-01,67,50
2015-11-01,72,51
2015-12-01,86,53
2016-01-01,70,62
2016-02-01,88,43
2016-03-01,84,58
2016-04-01,81,54
2016-05-01,100,51
2016-06-01,77,49
2016-07-01,75,49
2016-08-01,81,53
2016-09-01,93,44
2016-10-01,96,54
2016-11-01,91,50
2016-12-01,91,51
2017-01-01,89,65
