date,unlisted watches,youtube private channel
2011-01-01,45,38
2011-02-01,25,32
2011-03-01,31,24
2011-04-01,30,37
2011-05-01,36,29
2011-06-01,35,39
2011-07-01,40,38
2011-08-01,35,45
2011-09-01,39,53
2011-10-01,33,45
2011-11-01,35,49
2011-12-01,100,68
2012-01-01,53,61
2012-02-01,53,57
2012-03-01,34,66
2012-04-01,44,54
2012-05-01,40,57
2012-06-01,45,56
2012-07-01,46,55
2012-08-01,44,64
2012-09-01,52,65
2012-10-01,45,55
2012-11-01,58,57
2012-12-01,90,62
2013-01-01,49,74
2013-02-01,43,69
2013-03-01,41,72
2013-04-01,38,68
2013-05-01,43,58
2013-06-01,53,61
2013-07-01,56,73
2013-08-01,34,90
2013-09-01,40,74
2013-10-01,33,65
2013-11-01,41,59
2013-12-01,74,77
2014-01-01,49,69
2014-02-01,43,72
2014-03-01,37,67
2014-04-01,34,63
2014-05-01,41,54
2014-06-01,35,53
2014-07-01,37,58
2014-08-01,38,59
2014-09-01,27,53
2014-10-01,40,52
2014-11-01,35,60
2014-12-01,83,62
2015-01-01,46,57
2015-02-01,37,63
2015-03-01,32,66
2015-04-01,28,58
2015-05-01,39,69
2015-06-01,37,55
2015-07-01,20,57
2015-08-01,37,62
2015-09-01,25,50
2015-10-01,27,53
2015-11-01,29,55
2015-12-01,61,57
2016-01-01,40,67
2016-02-01,27,46
2016-03-01,22,62
2016-04-01,21,58
2016-05-01,29,54
2016-06-01,29,52
2016-07-01,25,53
2016-08-01,26,57
2016-09-01,22,47
2016-10-01,24,57
2016-11-01,29,53
2016-12-01,36,55
2017-01-01,31,69
