date,report gmail account
2011-01-01,41
2011-02-01,22
2011-03-01,27
2011-04-01,52
2011-05-01,44
2011-06-01,62
2011-07-01,65
2011-08-01,64
2011-09-01,38
2011-10-01,32
2011-11-01,35
2011-12-01,51
2012-01-01,41
2012-02-01,37
2012-03-01,37
2012-04-01,33
2012-05-01,38
2012-06-01,38
2012-07-01,52
2012-08-01,51
2012-09-01,44
2012-10-01,40
2012-11-01,54
2012-12-01,28
2013-01-01,64
2013-02-01,40
2013-03-01,51
2013-04-01,58
2013-05-01,43
2013-06-01,46
2013-07-01,48
2013-08-01,51
2013-09-01,44
2013-10-01,50
2013-11-01,50
2013-12-01,50
2014-01-01,54
2014-02-01,49
2014-03-01,65
2014-04-01,61
2014-05-01,52
2014-06-01,67
2014-07-01,50
2014-08-01,62
2014-09-01,70
2014-10-01,50
2014-11-01,41
2014-12-01,39
2015-01-01,72
2015-02-01,66
2015-03-01,57
2015-04-01,58
2015-05-01,44
2015-06-01,80
2015-07-01,66
2015-08-01,61
2015-09-01,54
2015-10-01,63
2015-11-01,70
2015-12-01,65
2016-01-01,57
2016-02-01,62
2016-03-01,67
2016-04-01,81
2016-05-01,55
2016-06-01,73
2016-07-01,73
2016-08-01,100
2016-09-01,60
2016-10-01,68
2016-11-01,75
2016-12-01,71
2017-01-01,80
