date,verify email address without sending email
2011-01-01,38
2011-02-01,40
2011-03-01,36
2011-04-01,36
2011-05-01,36
2011-06-01,37
2011-07-01,37
2011-08-01,86
2011-09-01,50
2011-10-01,32
2011-11-01,47
2011-12-01,63
2012-01-01,48
2012-02-01,30
2012-03-01,28
2012-04-01,45
2012-05-01,46
2012-06-01,29
2012-07-01,28
2012-08-01,28
2012-09-01,40
2012-10-01,51
2012-11-01,25
2012-12-01,38
2013-01-01,23
2013-02-01,51
2013-03-01,23
2013-04-01,23
2013-05-01,30
2013-06-01,23
2013-07-01,79
2013-08-01,67
2013-09-01,52
2013-10-01,49
2013-11-01,21
2013-12-01,22
2014-01-01,30
2014-02-01,22
2014-03-01,45
2014-04-01,20
2014-05-01,27
2014-06-01,23
2014-07-01,39
2014-08-01,55
2014-09-01,35
2014-10-01,20
2014-11-01,42
2014-12-01,41
2015-01-01,57
2015-02-01,41
2015-03-01,19
2015-04-01,32
2015-05-01,46
2015-06-01,57
2015-07-01,100
2015-08-01,25
2015-09-01,24
2015-10-01,35
2015-11-01,53
2015-12-01,18
2016-01-01,40
2016-02-01,28
2016-03-01,53
2016-04-01,49
2016-05-01,40
2016-06-01,33
2016-07-01,17
2016-08-01,32
2016-09-01,27
2016-10-01,97
2016-11-01,21
2016-12-01,31
2017-01-01,24
