date,How do I use skype,skype encryption
2011-01-01,100,37
2011-02-01,83,31
2011-03-01,73,25
2011-04-01,63,22
2011-05-01,86,34
2011-06-01,55,20
2011-07-01,85,24
2011-08-01,68,26
2011-09-01,64,23
2011-10-01,69,16
2011-11-01,69,12
2011-12-01,88,17
2012-01-01,70,20
2012-02-01,77,24
2012-03-01,68,18
2012-04-01,67,14
2012-05-01,57,15
2012-06-01,69,16
2012-07-01,70,19
2012-08-01,65,19
2012-09-01,93,9
2012-10-01,70,17
2012-11-01,71,21
2012-12-01,84,15
2013-01-01,79,14
2013-02-01,79,19
2013-03-01,76,18
2013-04-01,78,17
2013-05-01,66,19
2013-06-01,81,25
2013-07-01,67,22
2013-08-01,79,20
2013-09-01,75,17
2013-10-01,75,17
2013-11-01,63,15
2013-12-01,65,14
2014-01-01,87,13
2014-02-01,75,14
2014-03-01,64,13
2014-04-01,53,12
2014-05-01,52,15
2014-06-01,53,9
2014-07-01,49,14
2014-08-01,57,7
2014-09-01,56,13
2014-10-01,41,12
2014-11-01,44,13
2014-12-01,53,13
2015-01-01,45,12
2015-02-01,52,13
2015-03-01,40,14
2015-04-01,45,10
2015-05-01,39,11
2015-06-01,37,12
2015-07-01,42,13
2015-08-01,39,11
2015-09-01,32,13
2015-10-01,37,8
2015-11-01,40,9
2015-12-01,43,13
2016-01-01,41,11
2016-02-01,35,12
2016-03-01,33,21
2016-04-01,32,23
2016-05-01,24,18
2016-06-01,34,17
2016-07-01,30,15
2016-08-01,38,14
2016-09-01,26,18
2016-10-01,32,18
2016-11-01,33,11
2016-12-01,29,13
2017-01-01,32,11
