date,how to unfollow on Instagram,How to unfollow someone on instagram,instagram unfriend,stop following on instagram,unfollow on instagram
2011-01-01,0,0,0,1,0
2011-02-01,0,0,0,0,0
2011-03-01,1,0,0,0,0
2011-04-01,0,0,0,1,0
2011-05-01,0,0,0,0,0
2011-06-01,1,0,1,0,0
2011-07-01,1,0,0,0,0
2011-08-01,1,0,0,1,2
2011-09-01,1,0,0,0,2
2011-10-01,2,1,1,0,2
2011-11-01,2,2,1,1,2
2011-12-01,3,1,2,1,4
2012-01-01,3,1,0,3,6
2012-02-01,2,2,0,2,8
2012-03-01,5,2,1,3,16
2012-04-01,13,3,1,8,26
2012-05-01,21,4,2,9,36
2012-06-01,22,7,2,11,48
2012-07-01,34,9,2,14,73
2012-08-01,33,8,2,12,77
2012-09-01,35,11,3,15,81
2012-10-01,36,13,4,17,81
2012-11-01,35,11,3,15,83
2012-12-01,44,12,4,19,104
2013-01-01,47,18,5,18,122
2013-02-01,51,13,5,17,108
2013-03-01,57,17,4,21,122
2013-04-01,57,18,6,21,102
2013-05-01,49,16,5,21,104
2013-06-01,46,19,6,21,110
2013-07-01,67,21,6,24,144
2013-08-01,61,23,9,23,134
2013-09-01,52,16,5,19,104
2013-10-01,43,14,7,19,89
2013-11-01,46,18,5,19,99
2013-12-01,51,20,5,17,112
2014-01-01,58,20,7,22,120
2014-02-01,48,13,5,22,106
2014-03-01,48,15,5,24,104
2014-04-01,59,23,8,21,132
2014-05-01,54,23,5,19,116
2014-06-01,59,21,8,23,124
2014-07-01,72,23,7,19,151
2014-08-01,69,21,7,20,140
2014-09-01,57,19,8,22,122
2014-10-01,60,17,6,20,116
2014-11-01,61,17,6,25,128
2014-12-01,75,23,7,19,148
2015-01-01,70,20,10,23,140
2015-02-01,61,20,8,23,120
2015-03-01,57,18,5,28,122
2015-04-01,64,20,9,22,116
2015-05-01,53,21,10,19,128
2015-06-01,69,22,7,24,138
2015-07-01,74,20,8,23,148
2015-08-01,70,19,8,24,144
2015-09-01,65,20,8,20,126
2015-10-01,59,19,8,22,120
2015-11-01,69,18,7,27,126
2015-12-01,72,21,16,26,146
2016-01-01,75,26,20,28,159
2016-02-01,73,25,16,23,150
2016-03-01,73,20,13,22,148
2016-04-01,77,21,14,19,157
2016-05-01,72,21,15,23,146
2016-06-01,91,27,13,29,197
2016-07-01,100,30,14,34,197
2016-08-01,91,26,13,30,185
2016-09-01,82,23,12,25,171
2016-10-01,87,23,9,23,163
2016-11-01,84,29,11,23,165
2016-12-01,85,23,11,19,173
2017-01-01,97,25,10,22,197
