date,Block user,delete someone snapchat,how to unfollow someone on snapchat,how to unfriend on SnapChat,How to unfriend someone on SnapChat,Remove friend from SnapChat,remove snapchat friends,Removing friends on Snapchat,Snapchat remove friend,snapchat unfollow,snapchat unfriend,unfriend snapchat,unfriending on snapchat,Total
1/1/11,360,0,0,0,0,0,0,0,0,0,0,0,0,360
2/1/11,380,0,0,0,0,0,0,0,0,0,0,0,0,380
3/1/11,380,0,0,0,0,0,0,0,0,0,0,0,0,380
4/1/11,375,0,0,0,0,0,0,0,0,0,0,0,0,375
5/1/11,410,0,0,0,0,0,0,0,0,0,0,0,0,410
6/1/11,350,0,0,0,0,0,0,0,0,0,0,0,0,350
7/1/11,355,0,0,0,0,0,0,0,0,0,0,0,0,355
8/1/11,390,0,0,0,0,0,0,0,0,0,0,0,0,390
9/1/11,345,0,0,0,0,0,0,0,0,0,0,0,0,345
10/1/11,330,0,0,0,0,0,0,0,0,0,0,0,0,330
11/1/11,375,0,0,0,0,0,0,0,0,0,0,0,0,375
12/1/11,310,0,0,0,0,0,0,0,0,0,0,0,0,310
1/1/12,355,0,0,0,0,0,0,0,0,0,0,0,0,355
2/1/12,380,0,0,0,0,0,0,0,0,0,0,0,0,380
3/1/12,395,0,0,0,0,0,0,1,0,0,0,0,0,396
4/1/12,385,0,0,0,0,0,0,0,0,0,0,0,0,385
5/1/12,430,2,0,0,0,0,0,0,0,0,0,0,0,432
6/1/12,420,2,0,0,0,0,0,0,0,0,0,0,0,422
7/1/12,455,2,0,0,0,0,1,0,0,0,0,0,0,458
8/1/12,420,2,0,0,0,1,1,0,0,0,0,0,0,424
9/1/12,440,2,0,0,0,0,1,0,0,0,0,0,0,443
10/1/12,450,6,0,0,0,0,1,0,2,0,0,0,0,459
11/1/12,395,6,0,1,0,1,3,0,3,0,2,2,0,413
12/1/12,420,14,0,2,1,1,9,0,4,0,3,3,0,457
1/1/13,455,16,0,2,3,1,8,0,5,1,5,5,0,501
2/1/13,475,16,0,2,0,1,11,1,4,1,2,2,0,515
3/1/13,450,28,0,3,2,3,14,0,8,1,2,2,0,513
4/1/13,460,31,0,2,3,2,22,0,8,3,6,6,0,543
5/1/13,440,58,0,8,4,3,31,1,12,2,14,14,0,587
6/1/13,425,58,0,5,4,4,46,2,10,2,10,10,1,577
7/1/13,495,48,0,3,3,2,29,1,11,2,7,7,1,609
8/1/13,460,41,0,2,2,2,32,1,11,3,6,6,0,566
9/1/13,465,34,1,3,1,2,30,1,13,1,5,5,0,561
10/1/13,465,48,1,2,0,3,34,2,9,2,3,3,0,572
11/1/13,425,56,0,3,1,5,34,0,9,2,5,5,1,546
12/1/13,435,82,1,3,2,4,46,1,13,3,9,9,2,610
1/1/14,490,99,1,2,1,6,58,1,18,3,8,8,0,695
2/1/14,460,80,1,3,2,4,44,1,17,4,7,7,0,630
3/1/14,475,94,1,2,1,5,49,4,16,4,7,7,0,665
4/1/14,495,107,1,3,1,5,42,1,14,5,9,9,0,692
5/1/14,475,143,2,2,1,3,40,0,15,8,8,8,2,707
6/1/14,480,119,2,5,2,4,38,0,17,8,10,10,1,696
7/1/14,475,112,2,4,2,3,55,1,14,8,10,10,0,696
8/1/14,485,111,2,1,2,3,44,2,13,6,9,9,1,688
9/1/14,490,114,1,3,2,4,44,1,14,6,11,11,0,701
10/1/14,440,104,1,3,3,3,34,1,10,10,10,10,2,631
11/1/14,460,126,1,6,3,5,46,1,15,13,12,12,0,700
12/1/14,445,121,3,5,2,6,58,3,16,11,14,14,0,698
1/1/15,475,168,3,6,3,6,100,1,18,10,17,17,1,825
2/1/15,500,146,2,7,4,3,41,0,8,14,20,20,2,767
3/1/15,485,121,4,6,3,3,23,1,12,17,17,17,2,711
4/1/15,490,126,3,6,3,8,24,1,25,14,22,22,1,745
5/1/15,470,131,4,7,6,13,27,2,33,14,27,27,2,763
6/1/15,485,133,3,8,4,19,25,2,58,22,29,29,2,819
7/1/15,480,139,4,7,4,19,32,1,50,22,27,27,2,814
8/1/15,445,138,3,10,3,15,30,3,49,19,32,32,2,781
9/1/15,445,123,4,10,4,19,23,2,45,22,29,29,3,758
10/1/15,420,117,4,5,4,19,25,1,54,15,29,29,2,724
11/1/15,410,112,2,4,3,16,18,3,54,14,28,28,3,695
12/1/15,465,114,3,7,4,20,22,1,58,18,28,28,4,772
1/1/16,450,133,3,7,3,21,25,2,66,24,33,33,4,804
2/1/16,460,116,4,4,4,13,23,3,65,20,29,29,5,775
3/1/16,435,121,5,8,6,17,26,2,68,20,36,36,3,783
4/1/16,445,145,6,7,4,31,28,2,88,36,41,41,3,877
5/1/16,425,136,3,7,4,27,30,1,89,35,39,39,3,838
6/1/16,460,155,7,6,6,32,27,1,97,34,43,43,4,915
7/1/16,460,170,9,5,6,27,31,3,103,38,52,52,5,961
8/1/16,445,156,5,9,8,28,30,3,89,33,52,52,3,913
9/1/16,435,134,5,7,5,27,23,3,83,30,44,44,2,842
10/1/16,450,143,4,7,4,27,26,1,89,27,44,44,5,871
11/1/16,445,143,4,8,5,24,26,2,82,25,50,50,3,867
12/1/16,410,168,7,9,4,26,31,3,90,26,52,52,3,881
1/1/17,450,170,4,9,6,27,32,3,81,25,55,55,5,922
