date,How do I block someone on Twitter?,how to unfollow on twitter,how to unfollow someone on twitter,stop following on twitter,twitter stop following,Total
1/1/11,0,26,6,27,24,83
2/1/11,0,36,7,30,34,107
3/1/11,0,49,6,28,36,119
4/1/11,0,55,12,32,37,136
5/1/11,2,50,16,39,34,141
6/1/11,0,46,13,46,52,157
7/1/11,0,60,8,50,56,174
8/1/11,0,67,19,37,54,177
9/1/11,2,52,15,35,46,150
10/1/11,2,56,17,50,48,173
11/1/11,0,64,13,43,57,177
12/1/11,2,82,17,50,70,221
1/1/12,0,88,19,51,76,234
2/1/12,0,80,22,52,58,212
3/1/12,1,66,15,39,46,167
4/1/12,0,67,22,31,41,161
5/1/12,0,84,17,29,37,167
6/1/12,1,92,18,33,42,186
7/1/12,0,100,11,30,41,182
8/1/12,0,96,13,30,37,176
9/1/12,1,74,14,29,41,159
10/1/12,0,83,10,34,29,156
11/1/12,1,94,19,27,33,174
12/1/12,0,66,21,35,34,156
1/1/13,1,94,20,33,38,186
2/1/13,1,81,15,28,31,156
3/1/13,0,75,15,25,23,138
4/1/13,1,70,18,32,39,160
5/1/13,3,72,18,29,36,158
6/1/13,0,71,12,27,27,137
7/1/13,0,83,16,28,39,166
8/1/13,0,76,14,30,34,154
9/1/13,0,59,13,24,34,130
10/1/13,0,70,14,22,28,134
11/1/13,0,54,14,25,30,123
12/1/13,1,66,13,20,29,129
1/1/14,1,79,17,24,33,154
2/1/14,1,73,18,23,34,149
3/1/14,1,64,16,22,29,132
4/1/14,0,67,15,24,30,136
5/1/14,1,67,12,23,29,132
6/1/14,0,74,21,29,29,153
7/1/14,0,68,15,21,28,132
8/1/14,1,71,17,27,30,146
9/1/14,1,63,12,25,32,133
10/1/14,0,56,13,21,22,112
11/1/14,0,70,13,22,30,135
12/1/14,0,59,15,19,28,121
1/1/15,0,64,14,30,28,136
2/1/15,0,63,11,18,25,117
3/1/15,0,64,14,23,32,133
4/1/15,1,61,14,25,30,131
5/1/15,0,59,14,21,26,120
6/1/15,0,64,16,18,29,127
7/1/15,0,65,17,22,25,129
8/1/15,0,62,12,23,26,123
9/1/15,0,57,12,23,32,124
10/1/15,0,50,14,17,21,102
11/1/15,1,56,14,19,20,110
12/1/15,1,58,12,16,18,105
1/1/16,0,60,12,21,23,116
2/1/16,1,54,8,21,25,109
3/1/16,0,49,11,20,22,102
4/1/16,0,54,11,18,24,107
5/1/16,0,51,11,20,23,105
6/1/16,0,67,15,28,36,146
7/1/16,1,74,16,24,31,146
8/1/16,0,56,8,15,18,97
9/1/16,0,49,9,15,17,90
10/1/16,0,50,12,16,19,97
11/1/16,0,57,11,21,24,113
12/1/16,0,57,9,14,17,97
1/1/17,1,69,15,24,27,136
