date,facebook delete friends,Facebook how to unfriend,Facebook remove friend,facebook unfollow,facebook unfriend,how do I unfollow someone on Facebook,How to delete friend on Facebook,how to unfollow in Facebook,how to unfollow someone on facebook,how to unfriend in Facebook,how to unfriend someone on Facebook,remove someone from my facebook,unfollow facebook,Unfollow friend Facebook,Unfriending facebook,Total
1/1/11,88,12,31,2,36,0,11,0,0,1,2,1,2,0,2,188
2/1/11,68,13,29,2,36,0,12,0,0,1,3,1,2,0,2,169
3/1/11,55,12,26,2,33,0,12,0,0,1,4,1,2,0,2,150
4/1/11,53,14,26,3,40,0,11,0,0,1,4,1,3,0,2,158
5/1/11,53,13,26,3,40,0,11,0,0,2,2,0,3,0,2,155
6/1/11,55,17,26,3,47,0,11,0,0,2,4,1,3,0,2,171
7/1/11,61,17,26,3,51,0,12,0,0,2,4,1,3,0,2,182
8/1/11,59,20,28,4,54,0,10,0,0,2,5,1,4,0,3,190
9/1/11,65,24,29,3,64,0,10,0,0,4,5,1,3,0,3,211
10/1/11,74,20,25,4,64,0,10,0,0,3,4,1,4,0,3,212
11/1/11,68,20,23,5,62,0,9,0,0,4,3,1,5,0,3,203
12/1/11,84,27,23,5,73,0,10,0,0,4,4,1,5,0,3,239
1/1/12,95,29,24,6,75,0,10,0,0,4,5,1,6,0,4,259
2/1/12,87,28,21,7,89,0,10,0,0,4,6,1,7,0,5,265
3/1/12,84,25,18,6,70,0,10,0,0,4,5,1,6,0,12,241
4/1/12,93,28,21,8,73,0,10,0,0,5,5,1,8,0,4,256
5/1/12,91,31,21,7,75,0,9,0,0,6,6,1,7,0,3,257
6/1/12,100,36,22,8,85,0,11,0,0,5,8,1,8,0,3,287
7/1/12,96,36,24,8,88,0,13,0,0,6,6,1,8,0,4,290
8/1/12,93,40,24,9,89,0,13,0,0,5,4,1,9,0,4,291
9/1/12,86,33,20,11,84,0,11,0,0,5,4,1,11,0,4,270
10/1/12,91,31,18,10,78,0,9,0,0,5,6,1,10,0,5,264
11/1/12,69,26,15,9,75,0,7,0,0,4,10,1,9,0,4,229
12/1/12,46,22,15,11,69,0,7,0,0,3,3,1,11,0,4,192
1/1/13,39,22,15,15,65,0,6,0,1,3,3,1,15,1,5,191
2/1/13,37,20,12,17,62,0,6,1,1,3,3,1,17,1,5,186
3/1/13,34,19,13,16,64,1,6,0,1,3,9,1,16,0,5,188
