date,android encryption app,android file encryption,android marshmallow encryption,best encrypted messaging app,best encryption app for android,decrypt sd card android,encrypt sd card,encrypt text messages android,encrypted message meaning,encrypted mobile phones,encrypted phone calls,how to decrypt android phone,how to encrypt iphone 6,how to encrypt your iphone,most secure messaging app 2016,should i encrypt my android phone,Row Total
1/1/11,100,103,0,0,0,0,69,0,20,20,20,0,0,20,0,0,352
2/1/11,120,100,0,0,0,21,64,0,21,21,23,0,0,32,0,0,402
3/1/11,154,89,0,0,19,19,37,19,38,38,25,0,0,19,0,0,457
4/1/11,84,117,0,0,20,18,78,20,20,20,41,0,0,27,0,0,445
5/1/11,110,135,0,0,19,18,28,22,20,19,19,0,0,19,0,0,409
6/1/11,127,119,0,0,29,18,64,24,20,20,39,0,0,59,0,0,519
7/1/11,177,126,0,0,39,18,64,26,19,32,58,0,0,19,0,0,578
8/1/11,167,75,0,0,18,18,73,28,18,18,18,0,0,27,0,0,460
9/1/11,157,152,0,0,26,17,91,18,27,30,18,0,0,42,0,0,578
10/1/11,184,91,0,0,34,17,64,17,17,17,25,0,0,23,0,0,489
11/1/11,150,133,0,0,17,26,128,17,17,34,43,0,0,17,0,17,599
12/1/11,97,96,0,0,16,34,101,15,17,17,17,0,0,25,0,0,435
1/1/12,90,105,0,0,16,16,110,15,16,16,23,0,0,41,0,0,448
2/1/12,137,107,0,0,16,16,96,16,15,16,32,16,0,27,0,0,494
3/1/12,134,128,0,0,23,30,78,24,15,15,25,16,0,23,0,0,511
4/1/12,180,112,0,16,62,31,105,31,16,32,55,16,0,16,0,0,672
5/1/12,160,110,0,0,15,15,105,15,15,29,39,15,0,34,0,15,567
6/1/12,190,145,0,0,15,20,123,15,15,23,30,16,0,23,0,15,630
7/1/12,174,147,0,0,15,15,119,15,22,15,30,31,0,45,0,15,643
8/1/12,227,96,0,0,15,25,146,15,30,15,37,38,0,30,0,15,689
9/1/12,247,75,0,0,22,73,114,15,15,15,54,15,0,25,0,15,685
10/1/12,187,114,0,13,27,40,205,13,13,13,27,14,13,27,0,22,728
11/1/12,154,168,0,0,13,23,169,13,13,18,27,14,13,47,0,34,706
12/1/12,197,105,0,0,18,18,114,14,13,21,32,18,14,34,0,13,611
1/1/13,204,159,0,0,37,12,191,12,25,24,31,25,12,37,0,12,781
2/1/13,187,138,0,0,14,34,141,18,14,14,20,14,20,23,0,20,657
3/1/13,194,103,0,0,20,28,214,12,12,12,28,18,12,24,0,12,689
4/1/13,230,154,0,12,25,25,173,16,12,12,25,30,12,31,0,25,782
5/1/13,190,140,0,12,12,44,178,12,12,18,36,20,12,18,0,12,716
6/1/13,237,140,0,12,29,33,228,24,12,12,82,24,12,37,0,12,894
7/1/13,157,121,0,12,30,18,169,28,12,36,72,24,12,30,0,12,733
8/1/13,217,161,0,12,16,16,223,36,12,12,64,36,12,12,0,42,871
9/1/13,214,135,0,12,41,31,223,23,12,18,43,23,12,20,0,18,825
10/1/13,230,117,0,11,17,22,269,11,17,22,45,41,12,11,0,11,836
11/1/13,190,142,0,11,28,28,173,11,15,19,62,23,12,11,0,11,736
12/1/13,197,128,0,11,27,27,241,11,23,11,46,50,12,23,0,12,819
1/1/14,247,147,0,11,37,21,278,11,10,14,42,36,12,18,0,48,932
2/1/14,224,105,0,12,23,27,232,23,10,12,58,55,12,27,0,31,851
3/1/14,244,84,0,10,24,21,264,11,10,24,73,29,10,28,0,21,853
4/1/14,240,177,0,11,14,25,232,11,11,29,36,47,11,11,0,16,871
5/1/14,180,103,0,22,18,36,278,16,11,11,36,52,11,36,0,22,832
6/1/14,204,121,0,12,24,28,241,12,12,18,56,20,12,16,0,12,788
7/1/14,267,159,0,18,31,35,273,12,18,23,55,52,12,27,0,20,1002
