date,delete hangout history,google hangouts privacy
2011-01-01,0,0
2011-02-01,13,0
2011-03-01,11,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,10
2011-12-01,0,9
2012-01-01,0,9
2012-02-01,0,14
2012-03-01,0,18
2012-04-01,0,10
2012-05-01,0,9
2012-06-01,9,9
2012-07-01,8,9
2012-08-01,8,18
2012-09-01,8,16
2012-10-01,8,16
2012-11-01,8,8
2012-12-01,8,8
2013-01-01,15,7
2013-02-01,11,8
2013-03-01,12,7
2013-04-01,15,11
2013-05-01,34,17
2013-06-01,62,23
2013-07-01,71,22
2013-08-01,63,17
2013-09-01,45,7
2013-10-01,76,14
2013-11-01,57,18
2013-12-01,64,19
2014-01-01,64,17
2014-02-01,72,21
2014-03-01,57,38
2014-04-01,59,20
2014-05-01,53,30
2014-06-01,56,17
2014-07-01,66,21
2014-08-01,62,19
2014-09-01,100,27
2014-10-01,89,24
2014-11-01,73,7
2014-12-01,65,15
2015-01-01,69,27
2015-02-01,66,18
2015-03-01,62,16
2015-04-01,78,16
2015-05-01,66,28
2015-06-01,82,14
2015-07-01,76,22
2015-08-01,76,20
2015-09-01,72,27
2015-10-01,41,19
2015-11-01,61,23
2015-12-01,73,12
2016-01-01,75,17
2016-02-01,45,18
2016-03-01,30,20
2016-04-01,42,11
2016-05-01,34,13
2016-06-01,25,8
2016-07-01,39,16
2016-08-01,36,13
2016-09-01,26,19
2016-10-01,16,18
2016-11-01,30,15
2016-12-01,38,20
2017-01-01,33,11
