date,google child account,google hangouts privacy
2011-01-01,11,0
2011-02-01,8,0
2011-03-01,16,0
2011-04-01,11,0
2011-05-01,6,0
2011-06-01,14,0
2011-07-01,20,0
2011-08-01,11,0
2011-09-01,17,0
2011-10-01,13,0
2011-11-01,19,2
2011-12-01,22,2
2012-01-01,19,2
2012-02-01,18,3
2012-03-01,17,4
2012-04-01,17,2
2012-05-01,18,2
2012-06-01,10,2
2012-07-01,19,2
2012-08-01,16,3
2012-09-01,20,3
2012-10-01,16,3
2012-11-01,18,2
2012-12-01,41,2
2013-01-01,21,1
2013-02-01,20,2
2013-03-01,14,1
2013-04-01,20,2
2013-05-01,20,3
2013-06-01,24,4
2013-07-01,30,4
2013-08-01,23,3
2013-09-01,24,1
2013-10-01,25,3
2013-11-01,28,4
2013-12-01,59,4
2014-01-01,35,3
2014-02-01,32,4
2014-03-01,30,7
2014-04-01,30,4
2014-05-01,28,6
2014-06-01,28,3
2014-07-01,32,4
2014-08-01,37,4
2014-09-01,33,5
2014-10-01,36,5
2014-11-01,34,1
2014-12-01,58,3
2015-01-01,45,5
2015-02-01,45,3
2015-03-01,34,3
2015-04-01,31,3
2015-05-01,30,5
2015-06-01,34,3
2015-07-01,31,4
2015-08-01,37,4
2015-09-01,36,5
2015-10-01,33,4
2015-11-01,41,4
2015-12-01,62,2
2016-01-01,52,3
2016-02-01,38,4
2016-03-01,42,4
2016-04-01,40,2
2016-05-01,37,2
2016-06-01,41,2
2016-07-01,60,3
2016-08-01,55,3
2016-09-01,49,4
2016-10-01,43,3
2016-11-01,59,3
2016-12-01,100,4
2017-01-01,70,2
