date,Google hangouts privacy,google hangouts privacy
2011-01-01,40,40
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,39,39
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,34,34
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,30,30
2012-02-01,0,0
2012-03-01,59,59
2012-04-01,31,31
2012-05-01,29,29
2012-06-01,45,45
2012-07-01,0,0
2012-08-01,29,29
2012-09-01,0,0
2012-10-01,53,53
2012-11-01,0,0
2012-12-01,27,27
2013-01-01,24,24
2013-02-01,27,27
2013-03-01,24,24
2013-04-01,24,24
2013-05-01,94,94
2013-06-01,65,65
2013-07-01,72,72
2013-08-01,59,59
2013-09-01,35,35
2013-10-01,33,33
2013-11-01,60,60
2013-12-01,68,68
2014-01-01,84,84
2014-02-01,69,69
2014-03-01,93,93
2014-04-01,92,92
2014-05-01,57,57
2014-06-01,40,40
2014-07-01,62,62
2014-08-01,93,93
2014-09-01,60,60
2014-10-01,57,57
2014-11-01,43,43
2014-12-01,64,64
2015-01-01,100,100
2015-02-01,58,58
2015-03-01,46,46
2015-04-01,71,71
2015-05-01,66,66
2015-06-01,73,73
2015-07-01,53,53
2015-08-01,65,65
2015-09-01,77,77
2015-10-01,73,73
2015-11-01,93,93
2015-12-01,57,57
2016-01-01,42,42
2016-02-01,89,89
2016-03-01,95,95
2016-04-01,46,46
2016-05-01,33,33
2016-06-01,40,40
2016-07-01,52,52
2016-08-01,73,73
2016-09-01,90,90
2016-10-01,75,75
2016-11-01,59,59
2016-12-01,54,54
2017-01-01,61,61
