date,delete hangouts account,google hangouts privacy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,10
2011-12-01,0,9
2012-01-01,0,9
2012-02-01,0,13
2012-03-01,0,18
2012-04-01,0,9
2012-05-01,0,9
2012-06-01,0,9
2012-07-01,0,9
2012-08-01,0,18
2012-09-01,0,16
2012-10-01,8,16
2012-11-01,8,8
2012-12-01,8,8
2013-01-01,8,7
2013-02-01,9,8
2013-03-01,9,7
2013-04-01,12,11
2013-05-01,14,16
2013-06-01,14,22
2013-07-01,17,21
2013-08-01,12,16
2013-09-01,27,7
2013-10-01,13,13
2013-11-01,39,18
2013-12-01,44,18
2014-01-01,22,17
2014-02-01,38,20
2014-03-01,28,37
2014-04-01,35,19
2014-05-01,42,29
2014-06-01,23,17
2014-07-01,40,21
2014-08-01,50,19
2014-09-01,63,26
2014-10-01,66,23
2014-11-01,63,6
2014-12-01,39,15
2015-01-01,56,26
2015-02-01,48,17
2015-03-01,83,16
2015-04-01,29,15
2015-05-01,65,27
2015-06-01,64,14
2015-07-01,88,22
2015-08-01,72,19
2015-09-01,87,27
2015-10-01,63,18
2015-11-01,83,22
2015-12-01,73,11
2016-01-01,54,16
2016-02-01,81,18
2016-03-01,76,20
2016-04-01,69,10
2016-05-01,57,12
2016-06-01,81,8
2016-07-01,74,15
2016-08-01,74,13
2016-09-01,100,18
2016-10-01,87,17
2016-11-01,77,14
2016-12-01,75,19
2017-01-01,90,11
