date,my instagram was deleted
2011-01-01,0
2011-02-01,21
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,15
2012-07-01,15
2012-08-01,15
2012-09-01,30
2012-10-01,23
2012-11-01,14
2012-12-01,27
2013-01-01,25
2013-02-01,18
2013-03-01,12
2013-04-01,37
2013-05-01,52
2013-06-01,62
2013-07-01,53
2013-08-01,54
2013-09-01,36
2013-10-01,15
2013-11-01,40
2013-12-01,31
2014-01-01,21
2014-02-01,35
2014-03-01,21
2014-04-01,36
2014-05-01,33
2014-06-01,41
2014-07-01,36
2014-08-01,20
2014-09-01,53
2014-10-01,36
2014-11-01,33
2014-12-01,55
2015-01-01,38
2015-02-01,18
2015-03-01,13
2015-04-01,34
2015-05-01,70
2015-06-01,75
2015-07-01,70
2015-08-01,35
2015-09-01,33
2015-10-01,43
2015-11-01,24
2015-12-01,36
2016-01-01,67
2016-02-01,39
2016-03-01,42
2016-04-01,38
2016-05-01,60
2016-06-01,100
2016-07-01,59
2016-08-01,55
2016-09-01,43
2016-10-01,71
2016-11-01,50
2016-12-01,82
2017-01-01,86
