date,how to delete facebook account permanently immediately
2011-01-01,9
2011-02-01,10
2011-03-01,13
2011-04-01,8
2011-05-01,13
2011-06-01,17
2011-07-01,21
2011-08-01,28
2011-09-01,19
2011-10-01,38
2011-11-01,43
2011-12-01,98
2012-01-01,92
2012-02-01,100
2012-03-01,51
2012-04-01,19
2012-05-01,13
2012-06-01,40
2012-07-01,21
2012-08-01,24
2012-09-01,19
2012-10-01,24
2012-11-01,24
2012-12-01,37
2013-01-01,9
2013-02-01,20
2013-03-01,24
2013-04-01,24
2013-05-01,38
2013-06-01,30
2013-07-01,17
2013-08-01,44
2013-09-01,30
2013-10-01,42
2013-11-01,23
2013-12-01,17
2014-01-01,16
2014-02-01,30
2014-03-01,22
2014-04-01,30
2014-05-01,23
2014-06-01,42
2014-07-01,39
2014-08-01,28
2014-09-01,29
2014-10-01,24
2014-11-01,18
2014-12-01,20
2015-01-01,23
2015-02-01,22
2015-03-01,87
2015-04-01,61
2015-05-01,39
2015-06-01,35
2015-07-01,46
2015-08-01,35
2015-09-01,47
2015-10-01,37
2015-11-01,34
2015-12-01,48
2016-01-01,38
2016-02-01,32
2016-03-01,43
2016-04-01,37
2016-05-01,37
2016-06-01,55
2016-07-01,54
2016-08-01,50
2016-09-01,53
2016-10-01,33
2016-11-01,18
2016-12-01,24
2017-01-01,24
