date,how can I delete my instagram account
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,5
2011-09-01,0
2011-10-01,0
2011-11-01,4
2011-12-01,0
2012-01-01,8
2012-02-01,4
2012-03-01,4
2012-04-01,15
2012-05-01,9
2012-06-01,11
2012-07-01,30
2012-08-01,13
2012-09-01,21
2012-10-01,16
2012-11-01,26
2012-12-01,40
2013-01-01,58
2013-02-01,31
2013-03-01,31
2013-04-01,26
2013-05-01,18
2013-06-01,40
2013-07-01,34
2013-08-01,42
2013-09-01,40
2013-10-01,22
2013-11-01,32
2013-12-01,40
2014-01-01,35
2014-02-01,38
2014-03-01,34
2014-04-01,23
2014-05-01,32
2014-06-01,45
2014-07-01,47
2014-08-01,23
2014-09-01,23
2014-10-01,31
2014-11-01,48
2014-12-01,44
2015-01-01,46
2015-02-01,25
2015-03-01,40
2015-04-01,40
2015-05-01,39
2015-06-01,35
2015-07-01,42
2015-08-01,45
2015-09-01,53
2015-10-01,47
2015-11-01,58
2015-12-01,51
2016-01-01,68
2016-02-01,62
2016-03-01,47
2016-04-01,51
2016-05-01,57
2016-06-01,86
2016-07-01,92
2016-08-01,79
2016-09-01,64
2016-10-01,81
2016-11-01,100
2016-12-01,89
2017-01-01,81
