date,instagram deactivate
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,1
2012-01-01,1
2012-02-01,1
2012-03-01,1
2012-04-01,4
2012-05-01,4
2012-06-01,6
2012-07-01,7
2012-08-01,10
2012-09-01,9
2012-10-01,10
2012-11-01,12
2012-12-01,19
2013-01-01,20
2013-02-01,19
2013-03-01,19
2013-04-01,21
2013-05-01,20
2013-06-01,22
2013-07-01,26
2013-08-01,26
2013-09-01,21
2013-10-01,20
2013-11-01,22
2013-12-01,24
2014-01-01,25
2014-02-01,23
2014-03-01,25
2014-04-01,29
2014-05-01,29
2014-06-01,30
2014-07-01,31
2014-08-01,32
2014-09-01,28
2014-10-01,27
2014-11-01,33
2014-12-01,35
2015-01-01,37
2015-02-01,34
2015-03-01,35
2015-04-01,35
2015-05-01,35
2015-06-01,35
2015-07-01,46
2015-08-01,48
2015-09-01,46
2015-10-01,45
2015-11-01,51
2015-12-01,57
2016-01-01,63
2016-02-01,56
2016-03-01,60
2016-04-01,64
2016-05-01,66
2016-06-01,68
2016-07-01,77
2016-08-01,81
2016-09-01,76
2016-10-01,77
2016-11-01,87
2016-12-01,94
2017-01-01,100
