date,twitter unfollow,how to unfollow on twitter
2011-01-01,46,2
2011-02-01,45,3
2011-03-01,47,4
2011-04-01,50,5
2011-05-01,52,4
2011-06-01,57,4
2011-07-01,62,5
2011-08-01,59,6
2011-09-01,57,5
2011-10-01,56,5
2011-11-01,61,6
2011-12-01,63,7
2012-01-01,70,8
2012-02-01,66,7
2012-03-01,71,6
2012-04-01,81,6
2012-05-01,81,7
2012-06-01,91,8
2012-07-01,97,9
2012-08-01,92,8
2012-09-01,86,7
2012-10-01,83,7
2012-11-01,87,8
2012-12-01,91,6
2013-01-01,95,8
2013-02-01,89,7
2013-03-01,88,7
2013-04-01,85,6
2013-05-01,86,6
2013-06-01,87,6
2013-07-01,100,7
2013-08-01,86,7
2013-09-01,74,5
2013-10-01,75,6
2013-11-01,75,5
2013-12-01,80,6
2014-01-01,81,7
2014-02-01,73,6
2014-03-01,70,6
2014-04-01,66,6
2014-05-01,66,6
2014-06-01,66,6
2014-07-01,68,6
2014-08-01,62,6
2014-09-01,55,6
2014-10-01,53,5
2014-11-01,52,6
2014-12-01,54,5
2015-01-01,56,6
2015-02-01,52,6
2015-03-01,51,6
2015-04-01,48,5
2015-05-01,48,5
2015-06-01,48,6
2015-07-01,49,6
2015-08-01,47,5
2015-09-01,40,5
2015-10-01,39,4
2015-11-01,37,5
2015-12-01,38,5
2016-01-01,42,5
2016-02-01,38,5
2016-03-01,39,4
2016-04-01,39,5
2016-05-01,37,4
2016-06-01,43,6
2016-07-01,41,7
2016-08-01,37,5
2016-09-01,33,4
2016-10-01,31,4
2016-11-01,34,5
2016-12-01,32,5
2017-01-01,38,6
