date,stop following on twitter,how to unfollow on twitter
2011-01-01,27,26
2011-02-01,30,36
2011-03-01,28,49
2011-04-01,32,55
2011-05-01,39,50
2011-06-01,46,46
2011-07-01,50,60
2011-08-01,37,67
2011-09-01,35,52
2011-10-01,50,56
2011-11-01,43,64
2011-12-01,50,82
2012-01-01,51,88
2012-02-01,52,80
2012-03-01,39,66
2012-04-01,31,67
2012-05-01,29,84
2012-06-01,33,92
2012-07-01,30,100
2012-08-01,30,96
2012-09-01,29,74
2012-10-01,34,83
2012-11-01,27,94
2012-12-01,35,66
2013-01-01,33,94
2013-02-01,28,81
2013-03-01,25,75
2013-04-01,32,70
2013-05-01,29,72
2013-06-01,27,71
2013-07-01,28,83
2013-08-01,30,76
2013-09-01,24,59
2013-10-01,22,70
2013-11-01,25,54
2013-12-01,20,66
2014-01-01,24,79
2014-02-01,23,73
2014-03-01,22,64
2014-04-01,24,67
2014-05-01,23,67
2014-06-01,29,74
2014-07-01,21,68
2014-08-01,27,71
2014-09-01,25,63
2014-10-01,21,56
2014-11-01,22,70
2014-12-01,19,59
2015-01-01,30,64
2015-02-01,18,63
2015-03-01,23,64
2015-04-01,25,61
2015-05-01,21,59
2015-06-01,18,64
2015-07-01,22,65
2015-08-01,23,62
2015-09-01,23,57
2015-10-01,17,50
2015-11-01,19,56
2015-12-01,16,58
2016-01-01,21,60
2016-02-01,21,54
2016-03-01,20,49
2016-04-01,18,54
2016-05-01,20,51
2016-06-01,28,67
2016-07-01,24,74
2016-08-01,15,56
2016-09-01,15,49
2016-10-01,16,50
2016-11-01,21,57
2016-12-01,14,57
2017-01-01,24,69
