date,How to make text messages private,can someone read my text messages from their phone
2011-01-01,13,0
2011-02-01,0,0
2011-03-01,25,0
2011-04-01,14,0
2011-05-01,0,0
2011-06-01,26,0
2011-07-01,20,0
2011-08-01,12,0
2011-09-01,12,0
2011-10-01,0,0
2011-11-01,29,0
2011-12-01,34,0
2012-01-01,52,0
2012-02-01,59,0
2012-03-01,86,0
2012-04-01,42,0
2012-05-01,39,0
2012-06-01,46,0
2012-07-01,96,0
2012-08-01,100,0
2012-09-01,69,0
2012-10-01,50,0
2012-11-01,87,9
2012-12-01,92,0
2013-01-01,70,0
2013-02-01,64,0
2013-03-01,41,0
2013-04-01,58,0
2013-05-01,52,0
2013-06-01,62,0
2013-07-01,57,0
2013-08-01,80,8
2013-09-01,59,0
2013-10-01,68,0
2013-11-01,54,15
2013-12-01,42,0
2014-01-01,57,7
2014-02-01,27,8
2014-03-01,38,0
2014-04-01,47,7
2014-05-01,44,0
2014-06-01,73,0
2014-07-01,51,8
2014-08-01,75,0
2014-09-01,49,0
2014-10-01,51,0
2014-11-01,67,0
2014-12-01,62,7
2015-01-01,47,0
2015-02-01,44,0
2015-03-01,74,0
2015-04-01,52,0
2015-05-01,40,0
2015-06-01,41,0
2015-07-01,47,0
2015-08-01,37,0
2015-09-01,42,0
2015-10-01,47,0
2015-11-01,48,0
2015-12-01,71,0
2016-01-01,55,0
2016-02-01,70,0
2016-03-01,71,0
2016-04-01,71,0
2016-05-01,46,0
2016-06-01,73,6
2016-07-01,59,6
2016-08-01,43,0
2016-09-01,57,0
2016-10-01,60,5
2016-11-01,66,6
2016-12-01,90,0
2017-01-01,52,5
