date,"""secure text messaging""",can someone read my text messages from their phone
2011-01-01,23,0
2011-02-01,24,0
2011-03-01,22,0
2011-04-01,0,0
2011-05-01,33,0
2011-06-01,45,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,82,0
2011-10-01,20,20
2011-11-01,20,20
2011-12-01,58,0
2012-01-01,18,0
2012-02-01,19,0
2012-03-01,53,0
2012-04-01,18,0
2012-05-01,68,0
2012-06-01,18,0
2012-07-01,35,0
2012-08-01,35,0
2012-09-01,34,0
2012-10-01,39,0
2012-11-01,47,0
2012-12-01,39,0
2013-01-01,57,0
2013-02-01,55,0
2013-03-01,70,0
2013-04-01,29,0
2013-05-01,49,0
2013-06-01,71,0
2013-07-01,77,0
2013-08-01,49,14
2013-09-01,14,0
2013-10-01,52,0
2013-11-01,59,13
2013-12-01,67,0
2014-01-01,68,12
2014-02-01,67,13
2014-03-01,72,12
2014-04-01,93,12
2014-05-01,32,0
2014-06-01,42,0
2014-07-01,61,0
2014-08-01,68,0
2014-09-01,39,0
2014-10-01,50,0
2014-11-01,83,13
2014-12-01,100,13
2015-01-01,53,0
2015-02-01,38,0
2015-03-01,70,0
2015-04-01,59,0
2015-05-01,29,0
2015-06-01,18,12
2015-07-01,46,0
2015-08-01,46,0
2015-09-01,67,0
2015-10-01,53,0
2015-11-01,60,0
2015-12-01,89,0
2016-01-01,21,0
2016-02-01,57,0
2016-03-01,58,10
2016-04-01,41,20
2016-05-01,34,0
2016-06-01,35,10
2016-07-01,51,10
2016-08-01,30,10
2016-09-01,40,0
2016-10-01,42,10
2016-11-01,38,10
2016-12-01,38,0
2017-01-01,49,0
