date,spy text messages free
2011-01-01,67
2011-02-01,82
2011-03-01,56
2011-04-01,47
2011-05-01,47
2011-06-01,51
2011-07-01,57
2011-08-01,53
2011-09-01,52
2011-10-01,54
2011-11-01,40
2011-12-01,55
2012-01-01,53
2012-02-01,48
2012-03-01,56
2012-04-01,60
2012-05-01,54
2012-06-01,52
2012-07-01,75
2012-08-01,81
2012-09-01,74
2012-10-01,80
2012-11-01,61
2012-12-01,63
2013-01-01,70
2013-02-01,65
2013-03-01,64
2013-04-01,69
2013-05-01,70
2013-06-01,70
2013-07-01,66
2013-08-01,59
2013-09-01,65
2013-10-01,59
2013-11-01,71
2013-12-01,65
2014-01-01,79
2014-02-01,62
2014-03-01,78
2014-04-01,75
2014-05-01,64
2014-06-01,61
2014-07-01,60
2014-08-01,74
2014-09-01,44
2014-10-01,47
2014-11-01,56
2014-12-01,49
2015-01-01,45
2015-02-01,52
2015-03-01,61
2015-04-01,62
2015-05-01,64
2015-06-01,67
2015-07-01,67
2015-08-01,70
2015-09-01,64
2015-10-01,76
2015-11-01,76
2015-12-01,60
2016-01-01,72
2016-02-01,74
2016-03-01,72
2016-04-01,67
2016-05-01,77
2016-06-01,100
2016-07-01,80
2016-08-01,66
2016-09-01,48
2016-10-01,54
2016-11-01,57
2016-12-01,65
2017-01-01,67
