date,how to detect spyware on android phone
2011-01-01,0
2011-02-01,59
2011-03-01,57
2011-04-01,57
2011-05-01,53
2011-06-01,55
2011-07-01,48
2011-08-01,48
2011-09-01,48
2011-10-01,48
2011-11-01,48
2011-12-01,47
2012-01-01,44
2012-02-01,44
2012-03-01,44
2012-04-01,44
2012-05-01,50
2012-06-01,56
2012-07-01,63
2012-08-01,83
2012-09-01,61
2012-10-01,76
2012-11-01,38
2012-12-01,75
2013-01-01,52
2013-02-01,38
2013-03-01,67
2013-04-01,86
2013-05-01,100
2013-06-01,67
2013-07-01,67
2013-08-01,83
2013-09-01,98
2013-10-01,31
2013-11-01,95
2013-12-01,95
2014-01-01,30
2014-02-01,48
2014-03-01,86
2014-04-01,74
2014-05-01,34
2014-06-01,34
2014-07-01,33
2014-08-01,65
2014-09-01,79
2014-10-01,75
2014-11-01,31
2014-12-01,60
2015-01-01,85
2015-02-01,56
2015-03-01,56
2015-04-01,43
2015-05-01,55
2015-06-01,28
2015-07-01,69
2015-08-01,41
2015-09-01,27
2015-10-01,52
2015-11-01,65
2015-12-01,40
2016-01-01,38
2016-02-01,37
2016-03-01,94
2016-04-01,24
2016-05-01,59
2016-06-01,49
2016-07-01,62
2016-08-01,24
2016-09-01,24
2016-10-01,68
2016-11-01,80
2016-12-01,68
2017-01-01,87
