date,hack a phone with just the number
2011-01-01,0
2011-02-01,25
2011-03-01,24
2011-04-01,24
2011-05-01,23
2011-06-01,23
2011-07-01,23
2011-08-01,20
2011-09-01,20
2011-10-01,20
2011-11-01,20
2011-12-01,18
2012-01-01,18
2012-02-01,18
2012-03-01,18
2012-04-01,19
2012-05-01,26
2012-06-01,18
2012-07-01,18
2012-08-01,35
2012-09-01,18
2012-10-01,16
2012-11-01,43
2012-12-01,16
2013-01-01,15
2013-02-01,22
2013-03-01,19
2013-04-01,15
2013-05-01,37
2013-06-01,59
2013-07-01,22
2013-08-01,21
2013-09-01,21
2013-10-01,13
2013-11-01,27
2013-12-01,27
2014-01-01,19
2014-02-01,37
2014-03-01,25
2014-04-01,21
2014-05-01,39
2014-06-01,53
2014-07-01,35
2014-08-01,35
2014-09-01,47
2014-10-01,21
2014-11-01,13
2014-12-01,32
2015-01-01,24
2015-02-01,39
2015-03-01,39
2015-04-01,48
2015-05-01,43
2015-06-01,20
2015-07-01,24
2015-08-01,35
2015-09-01,58
2015-10-01,25
2015-11-01,56
2015-12-01,23
2016-01-01,39
2016-02-01,50
2016-03-01,50
2016-04-01,24
2016-05-01,60
2016-06-01,34
2016-07-01,48
2016-08-01,37
2016-09-01,54
2016-10-01,80
2016-11-01,91
2016-12-01,100
2017-01-01,95
