date,how to tell if your phone is tapped by police
2011-01-01,40
2011-02-01,28
2011-03-01,37
2011-04-01,25
2011-05-01,25
2011-06-01,26
2011-07-01,76
2011-08-01,24
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,40
2012-04-01,21
2012-05-01,20
2012-06-01,20
2012-07-01,20
2012-08-01,20
2012-09-01,39
2012-10-01,29
2012-11-01,18
2012-12-01,35
2013-01-01,16
2013-02-01,18
2013-03-01,37
2013-04-01,32
2013-05-01,31
2013-06-01,38
2013-07-01,24
2013-08-01,16
2013-09-01,16
2013-10-01,39
2013-11-01,30
2013-12-01,30
2014-01-01,21
2014-02-01,15
2014-03-01,20
2014-04-01,28
2014-05-01,43
2014-06-01,21
2014-07-01,15
2014-08-01,31
2014-09-01,20
2014-10-01,14
2014-11-01,19
2014-12-01,24
2015-01-01,22
2015-02-01,21
2015-03-01,26
2015-04-01,36
2015-05-01,22
2015-06-01,45
2015-07-01,17
2015-08-01,22
2015-09-01,19
2015-10-01,36
2015-11-01,21
2015-12-01,67
2016-01-01,24
2016-02-01,43
2016-03-01,48
2016-04-01,31
2016-05-01,59
2016-06-01,38
2016-07-01,38
2016-08-01,11
2016-09-01,37
2016-10-01,53
2016-11-01,100
2016-12-01,75
2017-01-01,95
