date,youtube private video downloader
2011-01-01,72
2011-02-01,22
2011-03-01,34
2011-04-01,46
2011-05-01,34
2011-06-01,30
2011-07-01,49
2011-08-01,51
2011-09-01,41
2011-10-01,30
2011-11-01,65
2011-12-01,38
2012-01-01,43
2012-02-01,41
2012-03-01,89
2012-04-01,80
2012-05-01,67
2012-06-01,39
2012-07-01,53
2012-08-01,57
2012-09-01,41
2012-10-01,45
2012-11-01,55
2012-12-01,26
2013-01-01,41
2013-02-01,66
2013-03-01,31
2013-04-01,50
2013-05-01,55
2013-06-01,44
2013-07-01,64
2013-08-01,55
2013-09-01,87
2013-10-01,71
2013-11-01,92
2013-12-01,55
2014-01-01,57
2014-02-01,68
2014-03-01,50
2014-04-01,49
2014-05-01,67
2014-06-01,61
2014-07-01,48
2014-08-01,99
2014-09-01,63
2014-10-01,60
2014-11-01,61
2014-12-01,96
2015-01-01,78
2015-02-01,83
2015-03-01,89
2015-04-01,88
2015-05-01,46
2015-06-01,77
2015-07-01,69
2015-08-01,58
2015-09-01,52
2015-10-01,75
2015-11-01,48
2015-12-01,58
2016-01-01,66
2016-02-01,69
2016-03-01,71
2016-04-01,73
2016-05-01,73
2016-06-01,65
2016-07-01,81
2016-08-01,87
2016-09-01,100
2016-10-01,78
2016-11-01,81
2016-12-01,87
2017-01-01,71
