date,youtube unlisted video
2011-01-01,11
2011-02-01,16
2011-03-01,13
2011-04-01,12
2011-05-01,12
2011-06-01,14
2011-07-01,23
2011-08-01,19
2011-09-01,20
2011-10-01,26
2011-11-01,29
2011-12-01,24
2012-01-01,23
2012-02-01,25
2012-03-01,20
2012-04-01,26
2012-05-01,28
2012-06-01,28
2012-07-01,33
2012-08-01,29
2012-09-01,28
2012-10-01,30
2012-11-01,37
2012-12-01,31
2013-01-01,25
2013-02-01,34
2013-03-01,34
2013-04-01,29
2013-05-01,24
2013-06-01,29
2013-07-01,34
2013-08-01,39
2013-09-01,31
2013-10-01,30
2013-11-01,47
2013-12-01,49
2014-01-01,40
2014-02-01,45
2014-03-01,61
2014-04-01,79
2014-05-01,78
2014-06-01,67
2014-07-01,67
2014-08-01,79
2014-09-01,74
2014-10-01,69
2014-11-01,69
2014-12-01,60
2015-01-01,65
2015-02-01,64
2015-03-01,69
2015-04-01,80
2015-05-01,79
2015-06-01,69
2015-07-01,71
2015-08-01,68
2015-09-01,82
2015-10-01,71
2015-11-01,76
2015-12-01,85
2016-01-01,74
2016-02-01,100
2016-03-01,84
2016-04-01,92
2016-05-01,98
2016-06-01,79
2016-07-01,83
2016-08-01,85
2016-09-01,88
2016-10-01,96
2016-11-01,96
2016-12-01,93
2017-01-01,98
