date,how to share a private youtube video
2011-01-01,14
2011-02-01,20
2011-03-01,18
2011-04-01,14
2011-05-01,20
2011-06-01,19
2011-07-01,14
2011-08-01,13
2011-09-01,26
2011-10-01,18
2011-11-01,12
2011-12-01,18
2012-01-01,22
2012-02-01,30
2012-03-01,11
2012-04-01,30
2012-05-01,42
2012-06-01,33
2012-07-01,18
2012-08-01,39
2012-09-01,42
2012-10-01,57
2012-11-01,55
2012-12-01,71
2013-01-01,70
2013-02-01,49
2013-03-01,55
2013-04-01,47
2013-05-01,54
2013-06-01,61
2013-07-01,40
2013-08-01,60
2013-09-01,36
2013-10-01,34
2013-11-01,67
2013-12-01,54
2014-01-01,50
2014-02-01,38
2014-03-01,37
2014-04-01,100
2014-05-01,67
2014-06-01,52
2014-07-01,78
2014-08-01,48
2014-09-01,78
2014-10-01,81
2014-11-01,68
2014-12-01,82
2015-01-01,69
2015-02-01,98
2015-03-01,69
2015-04-01,100
2015-05-01,94
2015-06-01,84
2015-07-01,74
2015-08-01,40
2015-09-01,65
2015-10-01,66
2015-11-01,89
2015-12-01,85
2016-01-01,99
2016-02-01,54
2016-03-01,74
2016-04-01,91
2016-05-01,82
2016-06-01,85
2016-07-01,88
2016-08-01,78
2016-09-01,63
2016-10-01,46
2016-11-01,68
2016-12-01,78
2017-01-01,81
