date,what does private mean on youtube
2011-01-01,15
2011-02-01,32
2011-03-01,14
2011-04-01,15
2011-05-01,22
2011-06-01,15
2011-07-01,15
2011-08-01,14
2011-09-01,18
2011-10-01,13
2011-11-01,13
2011-12-01,17
2012-01-01,23
2012-02-01,30
2012-03-01,15
2012-04-01,24
2012-05-01,18
2012-06-01,23
2012-07-01,30
2012-08-01,26
2012-09-01,19
2012-10-01,31
2012-11-01,27
2012-12-01,24
2013-01-01,46
2013-02-01,27
2013-03-01,36
2013-04-01,37
2013-05-01,54
2013-06-01,34
2013-07-01,64
2013-08-01,45
2013-09-01,62
2013-10-01,59
2013-11-01,43
2013-12-01,37
2014-01-01,43
2014-02-01,35
2014-03-01,37
2014-04-01,79
2014-05-01,72
2014-06-01,70
2014-07-01,71
2014-08-01,59
2014-09-01,40
2014-10-01,68
2014-11-01,55
2014-12-01,57
2015-01-01,54
2015-02-01,58
2015-03-01,48
2015-04-01,72
2015-05-01,40
2015-06-01,61
2015-07-01,68
2015-08-01,100
2015-09-01,47
2015-10-01,49
2015-11-01,64
2015-12-01,55
2016-01-01,68
2016-02-01,48
2016-03-01,59
2016-04-01,51
2016-05-01,47
2016-06-01,46
2016-07-01,56
2016-08-01,50
2016-09-01,47
2016-10-01,51
2016-11-01,50
2016-12-01,47
2017-01-01,49
