date,share private youtube video
2011-01-01,20
2011-02-01,16
2011-03-01,19
2011-04-01,12
2011-05-01,10
2011-06-01,13
2011-07-01,23
2011-08-01,12
2011-09-01,18
2011-10-01,10
2011-11-01,20
2011-12-01,21
2012-01-01,20
2012-02-01,18
2012-03-01,22
2012-04-01,29
2012-05-01,28
2012-06-01,41
2012-07-01,37
2012-08-01,43
2012-09-01,35
2012-10-01,49
2012-11-01,59
2012-12-01,65
2013-01-01,51
2013-02-01,42
2013-03-01,58
2013-04-01,53
2013-05-01,48
2013-06-01,64
2013-07-01,36
2013-08-01,60
2013-09-01,50
2013-10-01,46
2013-11-01,52
2013-12-01,50
2014-01-01,45
2014-02-01,38
2014-03-01,45
2014-04-01,73
2014-05-01,61
2014-06-01,45
2014-07-01,72
2014-08-01,58
2014-09-01,73
2014-10-01,66
2014-11-01,63
2014-12-01,67
2015-01-01,51
2015-02-01,85
2015-03-01,73
2015-04-01,91
2015-05-01,96
2015-06-01,93
2015-07-01,84
2015-08-01,68
2015-09-01,66
2015-10-01,79
2015-11-01,84
2015-12-01,72
2016-01-01,66
2016-02-01,62
2016-03-01,71
2016-04-01,68
2016-05-01,75
2016-06-01,69
2016-07-01,68
2016-08-01,72
2016-09-01,81
2016-10-01,73
2016-11-01,63
2016-12-01,83
2017-01-01,100
