date,how to encrypt text messages
2011-01-01,49
2011-02-01,34
2011-03-01,0
2011-04-01,33
2011-05-01,31
2011-06-01,0
2011-07-01,95
2011-08-01,90
2011-09-01,58
2011-10-01,0
2011-11-01,83
2011-12-01,55
2012-01-01,25
2012-02-01,53
2012-03-01,0
2012-04-01,39
2012-05-01,24
2012-06-01,50
2012-07-01,25
2012-08-01,0
2012-09-01,48
2012-10-01,33
2012-11-01,22
2012-12-01,0
2013-01-01,30
2013-02-01,67
2013-03-01,30
2013-04-01,70
2013-05-01,19
2013-06-01,40
2013-07-01,49
2013-08-01,39
2013-09-01,0
2013-10-01,37
2013-11-01,37
2013-12-01,46
2014-01-01,26
2014-02-01,47
2014-03-01,34
2014-04-01,26
2014-05-01,44
2014-06-01,40
2014-07-01,57
2014-08-01,19
2014-09-01,46
2014-10-01,87
2014-11-01,36
2014-12-01,35
2015-01-01,33
2015-02-01,53
2015-03-01,65
2015-04-01,59
2015-05-01,33
2015-06-01,33
2015-07-01,33
2015-08-01,24
2015-09-01,63
2015-10-01,38
2015-11-01,23
2015-12-01,39
2016-01-01,74
2016-02-01,29
2016-03-01,55
2016-04-01,21
2016-05-01,62
2016-06-01,43
2016-07-01,29
2016-08-01,35
2016-09-01,56
2016-10-01,66
2016-11-01,67
2016-12-01,100
2017-01-01,44
